engine,nox_c,nox_p,co_beta,co_gamma,co_max,co_min,hc_na,hc_max,hc_min,hc_ff85,hc_beta,hc_gamma,hc_a1,hc_b1,hc_b2
PW4077D,12.7224,1.07566,2.89607,1.88533,49.6,0.315,False,5.64,0.02,0,1.17714,1.83771,,,
PW4084,13.9807,0.948812,1.56553,1.89567,37.46,0.1,False,5.4,0.1,0,2.94868,-0.0226441,,,
PW4084D,12.4341,1.1062,3.34388,1.66138,42.24,0.3,False,4.32,0.02,0,1.62291,0.928886,,,
PW4090,12.6638,1.09794,3.4183,1.19458,23.88,0.29,False,1.38,0.02,0,1.83645,-0.460712,,,
PW4152,14.8235,0.676642,2.15457,1.53821,47.34,0.56,False,4.48,0.02,0,0.950622,1.25987,,,
PW4156,15.0034,0.707381,2.3106,1.46009,43.72,0.505,False,3.84,0.035,0,1.14285,0.870957,,,
PW4158,15.0105,0.734602,2.40952,1.41683,41.98,0.47,False,3.56,0.055,0,1.30271,0.622299,,,
PW4164,12.7599,0.589075,4.16602,1.01548,35.46,0.185,False,0.74,0,0,,,-13.0317,-8.5087,-7
PW4164-1D,12.8158,0.6876,2.89688,1.27572,34.26,0.165,False,2.88,0,2.239,1.0526,0.987124,,,
PW4168,12.9274,0.635682,4.34168,0.93709,31.8,0.15,False,0.4,0,0,,,-12.3548,-8.13727,-7
PW4168-1D,12.8963,0.738494,2.9708,1.18452,29.56,0.175,False,1.9,0,2.398,1.11964,0.573497,,,
PW4168A,12.9274,0.635682,4.34168,0.93709,31.8,0.15,False,0.4,0,0,,,-12.3548,-8.13727,-7
PW4168A-1D,12.8963,0.738494,2.9708,1.18452,29.56,0.175,False,1.9,0,2.398,1.11964,0.573497,,,
PW4060,14.8121,0.789238,2.38729,1.87407,88.92,0.535,False,23.26,0.07,0,0.855296,2.67232,,,
PW4062,14.7947,0.815057,2.50119,1.83669,85.22,0.555,False,21.72,0.075,0,0.888549,2.59719,,,
PW4170,12.8991,0.753785,2.99743,1.15077,28.08,0.18,False,1.66,0,2.45,1.18977,0.356433,,,
