engine,nox_c,nox_p,co_beta,co_gamma,co_max,co_min,hc_na,hc_max,hc_min,hc_ff85,hc_beta,hc_gamma,hc_a1,hc_b1,hc_b2
CFM56-5C2,25.0654,0.89391,0.553602,2.19828,68,0.865,False,11.36,0.008,0,0.0602289,4.51135,,,
CFM56-5C2/P,23.8721,0.876598,0.65794,1.99464,70.2,0.75,False,11.6,0,0,,,-15.6332,-14.2847,-7
CFM56-5C3,25.329,0.907666,0.549549,2.21281,65.2,0.9,False,10.7,0.008,0,0.0665874,4.43923,,,
CFM56-5C3/P,24.1875,0.890886,0.652638,2.00693,66.8,0.75,False,10.8,0,0,,,-15.4336,-13.9416,-7
CFM56-5C4,25.7296,0.941018,0.546251,2.22996,61.86,0.925,False,10,0.008,0,0.0705044,4.4102,,,
CFM56-5C4/P,24.5632,0.913392,0.607648,2.06572,63.2,0.75,False,10,0,0,,,-15.1703,-13.5505,-7
CFM56-7B18,21.0863,0.654151,0.752734,1.69396,56.6,0.5,False,7,0.1,0,0.0236088,4.58117,,,
CFM56-7B18/3,16.28,0.585524,0.920469,1.72955,93.28,0.225,False,9.02,0.03,0,0.00900027,5.19047,,,
CFM56-7B20,21.4595,0.666748,0.767878,1.66782,51.8,0.55,False,6.2,0.1,0,0.0423006,4.17556,,,
CFM56-7B20/2,13.4109,0.435027,2.22481,1.36032,99.42,7.82,False,16.22,0.15,0,0.211298,3.24424,,,
CFM56-7B20/3,16.4679,0.589787,0.946932,1.69837,86.62,0.19,False,7.68,0.03,0,0.0169207,4.78194,,,
CFM56-7B20E,16.4434,0.586703,0.946932,1.69837,86.62,0.19,False,7.68,0.03,0,0.0169207,4.78194,,,
CFM56-7B22,22.2357,0.693035,0.733349,1.68653,45.6,0.55,False,5,0.1,0,0.0989126,3.44756,,,
CFM56-7B22/2,14.3862,0.641006,20.0412,0.3608,90.7,4.38,False,14.52,0.08,0.837,4.35177,0.284856,,,
CFM56-7B22/3,17.0016,0.610028,0.96724,1.6703,75.8,0.165,False,5.66,0.025,0,0.033029,4.28364,,,
CFM56-7B22E,17.0016,0.610028,0.96724,1.6703,75.8,0.165,False,5.66,0.025,0,0.033029,4.28364,,,
CFM56-7B22E/B1,17.0016,0.610028,0.96724,1.6703,75.8,0.165,False,5.66,0.025,0,0.033029,4.28364,,,
CFM56-7B24,22.9308,0.740724,0.722989,1.71437,44,0.5,False,4.8,0.1,0,0.138112,3.15226,,,
CFM56-7B24/2,15.0383,0.657676,20.8088,0.323187,85.44,2.84,False,13.1,0.06,0.902,5.13575,0.138619,,,
CFM56-7B24/3,17.4845,0.630953,0.975899,1.65892,69.42,0.165,False,4.6,0.025,0,0.0426428,4.05726,,,
CFM56-7B24E,17.4845,0.630953,0.975899,1.65892,69.42,0.165,False,4.6,0.025,0,0.0426428,4.05726,,,
CFM56-7B24E/B1,17.4845,0.630953,0.975899,1.65892,69.42,0.165,False,4.6,0.025,0,0.0426428,4.05726,,,
CFM56-7B26,23.8737,0.761746,0.631973,1.77875,37.6,0.4,False,3.8,0.1,0,0.230666,2.49312,,,
CFM56-7B26/2,16.0429,0.691623,16.9546,0.391268,79.86,1.64,False,11.76,0.045,0.989,4.07699,0.202209,,,
CFM56-7B26/3,18.3787,0.675138,0.97325,1.64943,61.88,0.205,False,3.5,0.02,0,0.0587148,3.74101,,,
CFM56-7B26E,18.3787,0.675138,0.97325,1.64943,61.88,0.18,False,3.5,0.02,0,0.0587148,3.74101,,,
CFM56-7B26E/B1,18.3787,0.675138,0.97325,1.64943,61.88,0.18,False,3.5,0.02,0,0.0587148,3.74101,,,
CFM56-7B26E/B2,18.3787,0.675138,0.97325,1.64943,61.88,0.18,False,3.5,0.02,0,0.0587148,3.74101,,,
CFM56-7B26E/B2F,18.3787,0.675138,0.97325,1.64943,61.88,0.18,False,3.5,0.02,0,0.0587148,3.74101,,,
CFM56-7B26E/F,18.3787,0.675138,0.97325,1.64943,61.88,0.18,False,3.5,0.02,0,0.0587148,3.74101,,,
CFM56-7B27,24.4318,0.787704,0.589387,1.83671,35.8,0.35,False,3.4,0.1,0,0.274659,2.24475,,,
CFM56-7B27/2,16.5899,0.722429,15.6838,0.416285,77.46,1.255,False,11.12,0.055,1.033,3.71935,0.223821,,,
CFM56-7B27/3,18.9924,0.712034,0.979161,1.63779,58.78,0.24,False,3.08,0.025,0,0.0827738,3.4121,,,
CFM56-7B27AE,18.9924,0.712034,0.979161,1.63779,58.78,0.24,False,3.08,0.025,0,0.0827738,3.4121,,,
CFM56-7B27E,18.9924,0.712034,0.979161,1.63779,58.78,0.24,False,3.08,0.025,0,0.0827738,3.4121,,,
CFM56-7B27E/B1,18.9924,0.712034,0.979161,1.63779,58.78,0.24,False,3.08,0.025,0,0.0827738,3.4121,,,
CFM56-7B27E/B1F,18.9924,0.712034,0.979161,1.63779,58.78,0.24,False,3.08,0.025,0,0.0827738,3.4121,,,
CFM56-7B27E/B3,18.9924,0.712034,0.979161,1.63779,58.78,0.24,False,3.08,0.025,0,0.0827738,3.4121,,,
CFM56-7B27E/F,18.9924,0.712034,0.979161,1.63779,58.78,0.24,False,3.08,0.025,0,0.0827738,3.4121,,,
LEAP-1A26/26E1,17.6931,0.567501,0.614731,1.63636,42.8,0.245,False,0.56,0.02,0,0.130617,1.85211,,,
LEAP-1B28,49.7395,3.09577,0.327764,2.02688,29.24,0.16,False,1.14,0.045,0,0.123781,2.3674,,,
LEAP-1B28B2,49.7395,3.09577,0.327764,2.02688,29.24,0.16,False,1.14,0.045,0,0.123781,2.3674,,,
LEAP-1B27,52.5747,3.68286,0.346608,1.97425,30.58,0.155,False,1.3,0.04,0,0.0830595,2.7673,,,
LEAP-1B25,51.1386,3.18544,0.364934,1.93571,32.02,0.15,False,1.48,0.04,0,0.0520146,3.18163,,,
GP7270,16.845,0.893152,1.81181,2.10228,67.16,0.1,False,8.08,0.03,0,0.789132,2.30397,,,
CF34-10A16,21.1764,0.685524,0.381704,2.27314,104.1,0.415,False,13.92,0.07,0,0.0054456,5.50163,,,
CF34-10A18,22.1563,0.706466,0.388058,2.26006,94.58,0.51,False,11.34,0.065,0,0.0105945,5.10225,,,
CF34-10E2A1,21.3694,0.705565,0.482322,2.11311,101.62,0.395,False,10.88,0.045,0,0.00360715,5.6136,,,
CF34-10E5,21.5295,0.71045,0.476918,2.12122,98.8,0.405,False,10.3,0.05,0,0.00368203,5.59654,,,
CF34-10E5A1,22.166,0.729715,0.462395,2.13899,89.86,0.455,False,8.6,0.03,0,0.00334146,5.6185,,,
CF34-10E6,21.5295,0.71045,0.476918,2.12122,98.8,0.405,False,10.3,0.05,0,0.00368203,5.59654,,,
CF34-10E6A1,22.166,0.729715,0.462395,2.13899,89.86,0.455,False,8.6,0.03,0,0.00334146,5.6185,,,
CF34-10E7,22.166,0.729715,0.462395,2.13899,89.86,0.455,False,8.6,0.03,0,0.00334146,5.6185,,,
CF34-10E7-B,21.2774,0.711814,0.58549,1.94332,83.46,0.83,False,8.04,0.07,0,0.0117925,4.90685,,,
CF34-3A,17.6483,0.478931,0.0078204,3.49063,85.2,1e-07,False,7.9,0.06,0,7.60447e-05,6.44109,,,
CF34-3A1,17.6483,0.478931,0.0078204,3.49063,85.2,1e-07,False,7.9,0.06,0,7.60447e-05,6.44109,,,
CF34-3B,17.1333,0.476616,0.00475445,3.68014,95.18,1e-07,False,9.38,0.055,0,2.88703e-05,6.91453,,,
CF34-8C1,17.1507,0.429434,0.750335,1.32591,39.46,0.58,False,0.26,0.025,0.479,0.459514,-0.045873,,,
CF34-8C5,17.1152,0.382113,0.888926,1.15502,36.5,0.605,False,0.26,0.02,0.53,0.408399,0.0661273,,,
CF34-8C5A1,17.381,0.387683,0.910265,1.14223,35.7,0.615,False,0.26,0.02,0.543,0.416401,0.0481306,,,
CF34-8C5A2,17.8572,0.397713,0.932534,1.12567,34.6,0.64,False,0.26,0.02,0.563,0.427512,0.0219978,,,
CF34-8C5A3,18.4513,0.41498,0.952068,1.10941,33.42,0.67,False,0.24,0.02,0.586,0.462784,-0.101667,,,
CF34-8C5B1,16.6221,0.376149,0.827149,1.20899,39.04,0.59,False,0.32,0.025,0.497,0.41334,0.142383,,,
CF34-8E2,16.4341,0.373716,0.813862,1.21833,40.02,0.585,False,0.32,0.025,0.485,0.406793,0.155956,,,
CF34-8E2A1,17.0746,0.382239,0.890022,1.15656,36.72,0.605,False,0.28,0.02,0.527,0.38528,0.16625,,,
CF34-8E5,17.1649,0.383104,0.89965,1.14709,36.32,0.605,False,0.26,0.02,0.533,0.410985,0.058994,,,
CF34-8E5A1,17.8572,0.397713,0.932534,1.12567,34.6,0.64,False,0.26,0.02,0.563,0.427512,0.0219978,,,
CF34-8E5A2,18.4513,0.41498,0.952068,1.10941,33.42,0.67,False,0.24,0.02,0.586,0.462784,-0.101667,,,
CF34-8E6,17.1649,0.383104,0.89965,1.14709,36.32,0.605,False,0.26,0.02,0.533,0.410985,0.058994,,,
CF34-8E6A1,17.8572,0.397713,0.932534,1.12567,34.6,0.64,False,0.26,0.02,0.563,0.427512,0.0219978,,,
CF6-45A,14.3595,0.807617,3.84258,1.00838,48.08,0.485,False,5.44,0.115,0,1.59157,0.489303,,,
CF6-45A2,14.3595,0.807617,3.84258,1.00838,48.08,0.485,False,5.44,0.115,0,1.59157,0.489303,,,
CF6-50A,14.4374,0.818204,3.77142,1.01879,48.08,0.46,False,5.44,0.145,0,1.63969,0.458067,,,
CF6-50C,14.5409,0.802618,3.69905,1.02959,48.08,0.45,False,5.44,0.14,0,1.6579,0.446661,,,
CF6-50C1,14.5532,0.815694,3.73316,1.02447,48.08,0.45,False,5.44,0.145,0,1.73154,0.402687,,,
"CF6-50C1, -C2",14.9557,0.982678,3.23945,1.92119,123.6,0.5,False,43.6,0.65,0,2.40027,1.73578,,,
CF6-50C2,14.5532,0.815694,3.73316,1.02447,48.08,0.45,False,5.44,0.145,0,1.73154,0.402687,,,
CF6-50C2B,14.7764,0.805071,3.56789,1.04978,48.08,0.45,False,5.44,0.14,0,1.6888,0.4278,,,
CF6-50C2R,14.5409,0.802618,3.69905,1.02959,48.08,0.45,False,5.44,0.14,0,1.6579,0.446661,,,
CF6-50CA,14.5409,0.802618,3.69905,1.02959,48.08,0.45,False,5.44,0.14,0,1.6579,0.446661,,,
CF6-50E,14.5532,0.815694,3.73316,1.02447,48.08,0.45,False,5.44,0.145,0,1.73154,0.402687,,,
CF6-50E1,14.5532,0.815694,3.73316,1.02447,48.08,0.45,False,5.44,0.145,0,1.73154,0.402687,,,
CF6-50E2,14.5532,0.815694,3.73316,1.02447,48.08,0.45,False,5.44,0.145,0,1.73154,0.402687,,,
CF6-50E2B,14.7764,0.805071,3.56789,1.04978,48.08,0.45,False,5.44,0.14,0,1.6888,0.4278,,,
CF6-6D,23.2269,0.973845,2.49584,1.76148,108.4,0.5,False,42,0.3,0,1.01001,2.47072,,,
CF6-6D1A,23.2277,0.965099,2.27074,1.81836,104,0.5,False,39.8,0.3,0,0.966502,2.53283,,,
CF6-6K,23.2269,0.973845,2.49584,1.76148,108.4,0.5,False,42,0.3,0,1.01001,2.47072,,,
CF6-6K2,23.2277,0.965099,2.27074,1.81836,104,0.5,False,39.8,0.3,0,0.966502,2.53283,,,
CF6-80A,15.6821,0.83934,2.83544,1.21135,56.4,1.05,False,12.58,0.29,0,1.77393,0.871316,,,
CF6-80A1,15.6821,0.83934,2.83544,1.21135,56.4,1.05,False,12.58,0.29,0,1.77393,0.871316,,,
CF6-80A2,15.6667,0.800648,2.85688,1.2072,56.4,1.05,False,12.56,0.335,0,1.87657,0.820318,,,
CF6-80A3,15.6667,0.800648,2.85688,1.2072,56.4,1.05,False,12.56,0.335,0,1.87657,0.820318,,,
CF6-80C2A1,14.5727,0.616709,2.36335,1.34715,39.52,0.045,False,3.18,0.05,0,1.10252,0.755585,,,
CF6-80C2A2,14.1141,0.563853,2.23814,1.40939,43.94,0.045,False,3.8,0.05,0,0.867761,1.22261,,,
CF6-80C2A3,14.6639,0.633784,2.39519,1.33233,38.64,0.05,False,3.08,0.045,0,1.08599,0.766514,,,
CF6-80C2A5,14.7295,0.645059,2.41734,1.32032,37.78,0.05,False,2.96,0.045,0,1.12673,0.687768,,,
CF6-80C2A5F,14.4615,0.637421,2.58453,1.26478,33.92,0.045,False,2.36,0.045,0,1.22069,0.452625,,,
CF6-80C2A8,14.5679,0.614874,2.36335,1.34715,39.52,0.045,False,3.18,0.05,0,1.10252,0.755592,,,
CF6-80C2B1,14.4473,0.592538,2.29597,1.37609,41.24,0.04,False,3.42,0.05,0,1.01928,0.91331,,,
CF6-80C2B1F,14.3265,0.579865,2.43868,1.2989,38.46,0.04,False,3.08,0.05,0,1.04788,0.804088,,,
CF6-80C2B2,14.0693,0.560858,2.22902,1.41459,44.82,0.045,False,3.94,0.05,0,0.847253,1.2745,,,
CF6-80C2B2F,13.9064,0.544673,2.34068,1.34787,43.12,0.05,False,3.72,0.05,0,0.88904,1.14187,,,
CF6-80C2B4,14.5346,0.607223,2.34115,1.35402,39.52,0.045,False,3.18,0.05,0,1.06641,0.809047,,,
CF6-80C2B4F,14.3341,0.581833,2.43868,1.2989,38.46,0.04,False,3.08,0.05,0,1.04789,0.804075,,,
CF6-80C2B5F,14.6182,0.629247,2.57456,1.22889,34.9,0.045,False,2.62,0.05,0,1.23811,0.45407,,,
CF6-80C2B6,14.7295,0.645059,2.41734,1.32032,37.78,0.05,False,2.96,0.045,0,1.12673,0.687768,,,
CF6-80C2B6F,14.5139,0.615508,2.53122,1.26267,36.84,0.045,False,2.86,0.05,0,1.17092,0.59272,,,
CF6-80C2B7F,14.5139,0.615508,2.53122,1.26267,36.84,0.045,False,2.86,0.05,0,1.17092,0.59272,,,
CF6-80C2B8F,14.2173,0.62258,2.36589,1.25826,33.38,0.025,False,2.28,0.04,0,1.07554,0.572174,,,
CF6-80C2B8FA,14.3766,0.606248,2.61427,1.24281,36.54,0.045,False,2.82,0.05,0,1.19355,0.560963,,,
CF6-80C2D1F,14.5598,0.627187,2.55627,1.25017,36.04,0.045,False,2.76,0.045,0,1.197,0.540704,,,
CF6-80E1A1,14.1383,0.628512,2.75121,1.26782,35.28,0.045,False,2.6,0.045,0,1.2897,0.45999,,,
CF6-80E1A2,14.1958,0.646079,2.77368,1.2593,34.74,0.045,False,2.5,0.04,0,1.33537,0.379779,,,
CF6-80E1A3,13.3499,1.08562,2.1133,1.98324,74.04,0.325,False,19.06,0.07,0,1.59745,1.68089,,,
CF6-80E1A4,14.2663,0.691124,2.55453,1.22261,30.1,0.03,False,1.84,0.04,0,1.30486,0.175256,,,
GE90-110B1,13.348,0.799012,4.90169,2.13551,81.18,0.07,False,9.1,0.03,0,3.15037,0.623163,,,
GE90-113B,13.2231,0.824228,3.71161,2.49939,79.44,0.075,False,8.74,0.03,0,2.48249,1.09634,,,
GE90-115B,13.1302,0.841671,3.22899,2.66062,78.22,0.075,False,8.48,0.035,0,2.19982,1.3383,,,
GE90-76B,16.8527,0.830396,3.35761,1.72192,68.24,0.315,False,6.42,0.03,0,0.892803,2.0964,,,
GE90-77B,16.8494,0.833607,3.39481,1.71652,67.62,0.315,False,6.32,0.03,0,0.922021,2.03457,,,
GE90-85B,16.9554,0.84911,3.67427,1.64956,62.68,0.305,False,5.6,0.035,0,1.07859,1.69702,,,
GE90-90B,16.9676,0.859935,4.10001,1.56454,59.78,0.305,False,5.18,0.035,0,1.3289,1.2634,,,
GE90-92B,17.3875,0.891968,3.66027,1.03969,24.7,0.15,False,0.74,0.04,0,2.06143,-1.32542,,,
GE90-94B,17.0049,0.865912,4.35042,1.51561,58.46,0.305,False,4.98,0.035,0,1.47751,1.0409,,,
GEnx-1B54,9.60873,0.475929,2.49771,1.39867,52.2,0.955,False,2.68,0.02,0,0.513464,1.81192,,,
GEnx-1B58,10.5383,0.567695,2.54832,1.37101,48.62,0.56,False,2.22,0.02,0,0.557548,1.5896,,,
GEnx-1B64,11.8357,0.740499,2.61109,1.32325,43.24,0.28,False,1.62,0.02,0,0.650326,1.1615,,,
GEnx-1B67,12.1465,0.834701,2.64853,1.30357,41.4,0.235,False,1.44,0.02,0,0.718846,0.922908,,,
GEnx-1B70,12.1423,0.982116,2.67807,1.28502,39.36,0.205,False,1.26,0.02,0,0.799974,0.661182,,,
GEnx-2B67,11.8788,0.939186,3.17358,1.17243,37.9,0.225,False,1.14,0.02,0,0.945554,0.323906,,,
GEnx-1B54/P1,9.89029,0.507045,2.5875,1.36576,47.22,0.885,False,2.04,0.02,0,0.581293,1.49606,,,
GEnx-1B58/P1,10.8021,0.597353,2.63653,1.33083,43.94,0.52,False,1.68,0.02,0,0.626325,1.26141,,,
GEnx-1B64/P1,11.9946,0.770589,2.69085,1.29161,39.46,0.27,False,1.28,0.02,0,0.71061,0.898541,,,
GEnx-1B67/P1,12.2736,0.857074,2.72311,1.27333,37.88,0.235,False,1.16,0.02,0,0.77726,0.682988,,,
GEnx-1B70/P1,12.2781,0.990713,2.7544,1.25393,36.1,0.2025,False,1.04,0.02,0,0.802133,0.567595,,,
GEnx-1B70/72/P1,12.2781,0.990713,2.7544,1.25393,36.1,0.2025,False,1.04,0.02,0,0.802133,0.567595,,,
GEnx-1B70/75/P1,12.2781,0.990713,2.7544,1.25393,36.1,0.2025,False,1.04,0.02,0,0.802133,0.567595,,,
GEnx-1B74/75/P1,10.3899,1.36147,2.83268,1.2154,33.72,0.18,False,0.88,0.025,0,0.861692,0.337196,,,
GEnx-1B75/P1,8.95124,1.55532,2.85275,1.20471,33.26,0.18,False,0.86,0.025,0,0.885099,0.273067,,,
GEnx-2B67B,11.8788,0.939186,3.17358,1.17243,37.9,0.225,False,1.14,0.02,0,0.945554,0.323906,,,
GEnx-1B54/P2,11.2506,0.498403,2.02624,1.3559,32.78,1.025,False,1.16,0.02,0,0.505569,1.39634,,,
GEnx-1B58/P2,12.114,0.576474,2.08409,1.33397,32.78,0.555,False,1.16,0.02,0,0.493055,1.44081,,,
GEnx-1B64/P2,13.3734,0.716619,2.17924,1.29418,32.26,0.215,False,1.12,0.02,0,0.617884,1.01793,,,
GEnx-1B67/P2,13.7437,0.77917,2.21813,1.27687,30.98,0.16,False,1,0.02,0,0.676617,0.799397,,,
GEnx-1B70/72/P2,14.0476,0.862495,2.28329,1.24137,29.56,0.115,False,0.88,0.02,0,0.751324,0.533149,,,
GEnx-1B70/75/P2,14.0476,0.862495,2.28329,1.24137,29.56,0.115,False,0.88,0.02,0,0.751324,0.533149,,,
GEnx-1B70/P2,14.0476,0.862495,2.28329,1.24137,29.56,0.115,False,0.88,0.02,0,0.751324,0.533149,,,
GEnx-1B74/75/P2,14.005,1.0127,2.38202,1.19607,27.6,0.08,False,0.76,0.02,0,0.724765,0.527919,,,
GEnx-1B75/P2,13.8843,1.05061,2.40416,1.18403,27.24,0.075,False,0.74,0.025,0,0.74453,0.4614,,,
GEnx-1B76/P2,13.6256,1.10281,2.42553,1.17212,26.88,0.07,False,0.72,0.025,0,0.765582,0.392162,,,
GEnx-1B76A/P2,13.6256,1.10281,2.42553,1.17212,26.88,0.07,False,0.72,0.025,0,0.765582,0.392162,,,
GEnx-2B67/P,14.3909,0.842772,2.15787,1.28965,28.56,0.12,False,0.82,0.02,0,0.604114,0.918522,,,
HTF7000,37.186,0.677018,0.270082,1.86046,66.48,0.595,False,2.52,0.055,0,0.000461112,5.12623,,,
HTF7250G,35.876,0.664418,0.313109,1.76225,60.96,0.585,False,1.98,0.055,0,0.00175341,4.46002,,,
HTF7350,36.4933,0.667058,0.317556,1.74492,61.8,0.585,False,2,0.055,0,0.00203804,4.37854,,,
HTF7500E,36.7531,0.667413,0.303046,1.76754,56.16,0.565,False,1.68,0.055,0,0.00356807,4.09002,,,
HTF7700L,36.6195,0.666076,0.335995,1.69905,59.24,0.59,False,1.9,0.055,0,0.00216176,4.33044,,,
V2500-A1,33.5444,0.841184,0.36095,1.91199,15.52,0.55,False,0.44,0.105,0,1.08611,-0.696998,,,
V2522-A5,21.5574,0.716281,0.951696,1.39616,24.98,0.435,False,0.28,0.035,0,0.689855,-0.374833,,,
V2524-A5,21.9241,0.730201,0.94107,1.40527,24.06,0.43,False,0.28,0.035,0,0.708596,-0.405538,,,
V2525-D5,25.1414,0.874423,0.986243,1.35459,24.86,0.575,False,0.21,0.041,0,0.761865,-0.692505,,,
V2527-A5,21.9766,0.732959,0.936273,1.41266,23.92,0.43,False,0.28,0.03,0.873,0.68797,-0.35884,,,
V2527-A5E,21.9766,0.732959,0.936273,1.41266,23.92,0.43,False,0.28,0.03,0.873,0.68797,-0.35884,,,
V2527-A5M,21.9766,0.732959,0.936273,1.41266,23.92,0.43,False,0.28,0.03,0.873,0.68797,-0.35884,,,
V2527E-A5,25.1414,0.874423,0.986243,1.35459,24.86,0.575,False,0.22,0.04,0,0.730392,-0.605563,,,
V2527M-A5,25.1414,0.874423,0.986243,1.35459,24.86,0.575,False,0.22,0.04,0,0.730392,-0.605563,,,
V2528-D5,25.484,0.897414,1.00957,1.33654,23.06,0.515,False,0.204,0.042,0,0.757004,-0.690532,,,
V2530-A5,23.9375,0.83125,0.978155,1.37731,20.9,0.4,False,0.24,0.025,1.078,0.716335,-0.48828,,,
V2533-A5,24.6682,0.884493,1.01212,1.34488,20.24,0.395,False,0.24,0.015,1.142,0.721878,-0.492914,,,
V2531-E5,24.3513,0.837969,0.96942,1.3646,20.34,0.4,False,0.18,0.015,0,1.14588,-1.44399,,,
NK-8-2U,9.61879,0.783496,7.67412,1.89743,232,5.75,False,207.6,0.5,0,2.90919,2.93792,,,
NK-86,7.91639,0.623943,4.61333,1.57713,108.8,4.05,False,104,0.55,0,1.66602,2.77307,,,
NK-86A,8.65916,0.77925,4.48159,1.47379,76,2,False,30.6,0.2,1.7,2.9575,1.35272,,,
NK-86MA,6.36066,0.91498,3.78623,1.4261,59.6,1.725,False,9.2,0.145,0,1.25736,1.54638,,,
SaM146-1S17,18.9876,0.684653,0.781919,1.68375,58.72,0.31,False,2.1,0.035,0,0.0117399,4.37325,,,
SaM146-1S18,19.2757,0.695984,0.797286,1.66864,55.1,0.3,False,1.64,0.03,0,0.0261796,3.80006,,,
JT15D-1,33.2748,0.768114,0.8485,1.34292,264,3.075,False,101,0.01,0.124,8.27278e-06,7.49796,,,
JT15D-4,27.7625,0.61093,1.01975,1.24884,194,2.64,False,80,0.14,0.143,0.000912669,5.69731,,,
"JT15D-5, -5A, -5B",42.158,0.827309,1.16434,1.31122,238.4,0.575,False,238.2,0.65,0.1727,0.0011419,6.14002,,,
JT15D-5C,33.8274,0.758766,3.22048,1.00793,249.2,3.35,False,193.34,0.335,0.1802,0.128936,3.57009,,,
JT3D-3B,10.6181,0.743643,5.23218,1.45787,196,2.15,False,224,3,0,0.915584,3.22496,,,
JT3D-7,10.1926,0.749683,4.00768,1.71872,277.98,1.395,False,246,0.45,0,0.844482,3.29174,,,
JT8D-11,16.5542,0.971629,2.31767,1.41505,70,1.55,False,20,0.425,0,0.988272,1.78016,,,
JT8D-15,16.5065,0.850645,1.23067,1.23936,22,1.09,False,2.92,0.26,0,1.19226,0.373955,,,
