uid,name,type,manufacturer,bpr,pr,max_thrust,fuel_c3,fuel_c2,fuel_c1,cruise_thrust,cruise_sfc,curise_mach,curise_alt
8PW091,PW307A,MTF,Pratt & Whitney Canada,4.2,20.21,28490,0.23161326287784093,-0.3479154125154988,0.4466036943937324,,,,
15PW109,PW307D,MTF,Pratt & Whitney Canada,4.2,21.44,29910,0.48155808986304666,-0.6718837397082207,0.5461527749590929,,,,
7PW079,PW308A,MTF,Pratt & Whitney Canada,4.1,20.4,30710,0.30631425469883145,-0.4882686427561165,0.5434008156151208,,,,
14PW103,PW308C,MTF,Pratt & Whitney Canada,4.1,21.07,31150,0.27330163208780905,-0.4087128082362375,0.5072531630663428,,,,
1PW042,PW4056,TF,Pratt & Whitney,4.7,29.3,249100,0.8027595351347626,-0.9090025912149291,2.4530824322148206,,,,
2PW060,PW4074,TF,Pratt and Whitney,6.8,32.2,333200,0.9627114149830192,-0.9531613602138718,2.8930175015251702,,,,
3PW063,PW4074D,TF,Pratt & Whitney,6.7,31.76,333200,0.9395878157403998,-0.9364090812306444,2.9502166793392686,,,,
2PW061,PW4077,TF,Pratt and Whitney,6.7,33.2,343000,1.0790131177469748,-1.0303953954226455,2.9737924763315817,,,,
10PW097,PW4077D,TF,Pratt & Whitney,6.6,33.3,355700,1.9429087605771072,-2.3731603948203315,3.610412325285368,,,,
8PW089,PW4084,TF,Pratt and Whitney,6.4,36.2,369600,1.8655889279860955,-1.755151484172005,3.302806715644239,,,,
10PW098,PW4084D,TF,Pratt & Whitney,6.2,36.3,385900,2.5694840962465255,-2.9198068323366435,3.9146660686732835,,,,
10PW099,PW4090,TF,Pratt & Whitney,6.0,38.9,408300,3.6386841079010592,-3.9029061865318924,4.197642209857801,,,,
1PW045,PW4152,TF,Pratt & Whitney,4.9,26.9,231270,0.5373972014129784,-0.6676419370336367,2.264930755777726,,,,
1PW047,PW4156,TF,Pratt & Whitney,4.7,29.3,249100,0.8027595351347626,-0.9090025912149291,2.4530824322148206,,,,
1PW048,PW4158,TF,Pratt & Whitney,4.6,30.7,258000,1.2257018434915328,-1.3616923180949778,2.6210305301484844,,,,
7PW081,PW4164,TF,Pratt & Whitney,5.2,30.1,284680,1.0125929707042187,-1.2352358969880823,2.8957857675941696,,,,
9PW092,PW4164-1D,TF,Pratt & Whitney,5.06,31.3,286900,1.0457053828209466,-1.2470077552866528,2.9275436760233258,,,,
