phase,param,opt,min,max,model,pm
TO,to_v_lof,86.5,75.0,98.0,norm,86.54|7.99
TO,to_d_tof,1.64,1.13,2.63,gamma,9.42|0.37|0.15
TO,to_acc_tof,1.82,1.37,2.28,norm,1.82|0.28
IC,ic_va_avg,87,80,93,norm,87.24|4.53
IC,ic_vs_avg,12.27,8.29,16.26,norm,12.28|2.42
CL,cl_d_range,216,168,350,gamma,5.40|149.68|15.22
CL,cl_v_cas_const,151,140,161,norm,151.22|6.33
CL,cl_v_mach_const,0.77,0.75,0.80,norm,0.77|0.02
CL,cl_h_cas_const,3.6,1.8,5.4,norm,3.64|1.09
CL,cl_h_mach_const,8.9,7.9,9.8,norm,8.88|0.57
CL,cl_vs_avg_pre_cas,10.61,7.83,13.41,norm,10.62|1.70
CL,cl_vs_avg_cas_const,10.24,7.70,12.80,norm,10.25|1.55
CL,cl_vs_avg_mach_const,6.20,4.31,8.11,norm,6.21|1.15
CR,cr_d_range,929,502,4953,gamma,1.71|463.22|654.96
CR,cr_v_cas_mean,130,121,139,norm,130.27|5.50
CR,cr_v_cas_max,132,125,151,gamma,5.83|116.60|3.39
CR,cr_v_mach_mean,0.78,0.75,0.80,norm,0.78|0.02
CR,cr_v_mach_max,0.80,0.77,0.83,norm,0.80|0.02
CR,cr_h_init,11.13,10.16,12.10,norm,11.13|0.59
CR,cr_h_mean,11.23,10.35,12.12,norm,11.24|0.54
CR,cr_h_max,11.38,10.57,12.19,norm,11.38|0.49
DE,de_d_range,241,179,472,gamma,3.59|163.64|30.00
DE,de_v_mach_const,0.77,0.73,0.81,norm,0.77|0.03
DE,de_v_cas_const,145,132,159,norm,145.77|8.27
DE,de_h_mach_const,9.7,8.3,11.1,norm,9.68|0.86
DE,de_h_cas_const,5.9,3.2,8.7,norm,5.95|1.65
DE,de_vs_avg_mach_const,-5.80,-12.73,-2.11,beta,3.43|2.10|-17.58|17.11
DE,de_vs_avg_cas_const,-9.95,-14.39,-5.48,norm,-9.94|2.71
DE,de_vs_avg_after_cas,-6.23,-7.91,-4.53,norm,-6.22|1.03
FA,fa_va_avg,77,72,82,norm,77.35|3.71
FA,fa_vs_avg,-3.84,-4.56,-3.12,norm,-3.84|0.44
FA,fa_agl,3.02,2.33,3.72,norm,3.03|0.42
LD,ld_v_app,75.4,69.5,81.3,norm,75.37|4.11
LD,ld_d_brk,1.25,0.68,3.60,gamma,2.60|0.33|0.57
LD,ld_acc_brk,-1.36,-2.14,-0.57,norm,-1.36|0.48
