phase,param,opt,min,max,model,pm
TO,to_v_lof,92.4,79.6,105.3,norm,92.43|8.92
TO,to_d_tof,1.82,1.03,2.61,norm,1.82|0.48
TO,to_acc_tof,1.97,1.46,2.49,norm,1.97|0.31
IC,ic_va_avg,88,80,96,beta,4.65|5.42|71.86|36.69
IC,ic_vs_avg,14.28,9.45,19.12,norm,14.29|2.94
CL,cl_d_range,202,160,338,gamma,4.37|146.83|16.52
CL,cl_v_cas_const,159,146,171,beta,5.42|4.92|131.86|52.14
CL,cl_v_mach_const,0.79,0.76,0.83,norm,0.79|0.02
CL,cl_h_cas_const,4.0,2.6,5.5,norm,4.05|0.90
CL,cl_h_mach_const,8.3,7.6,9.8,gamma,8.58|6.61|0.23
CL,cl_vs_avg_pre_cas,10.16,7.27,13.07,norm,10.17|1.76
CL,cl_vs_avg_cas_const,10.26,7.06,13.48,norm,10.27|1.95
CL,cl_vs_avg_mach_const,6.95,3.76,10.16,norm,6.96|1.95
CR,cr_d_range,1201,562,9544,beta,1.06|1.84|526.21|9525.03
CR,cr_v_cas_mean,137,127,148,norm,137.87|6.52
CR,cr_v_cas_max,142,132,165,gamma,5.96|121.86|4.14
CR,cr_v_mach_mean,0.80,0.77,0.83,norm,0.80|0.02
CR,cr_v_mach_max,0.82,0.79,0.87,gamma,9.85|0.75|0.01
CR,cr_h_init,10.65,9.11,11.75,beta,4.71|3.26|7.61|4.88
CR,cr_h_mean,10.81,9.90,11.73,norm,10.82|0.55
CR,cr_h_max,11.17,10.30,12.04,norm,11.17|0.53
DE,de_d_range,244,178,489,gamma,3.61|161.96|31.72
DE,de_v_mach_const,0.79,0.76,0.83,norm,0.79|0.02
DE,de_v_cas_const,151,139,164,norm,151.80|7.70
DE,de_h_mach_const,9.5,8.3,10.8,norm,9.55|0.77
DE,de_h_cas_const,6.7,4.4,9.0,norm,6.70|1.42
DE,de_vs_avg_mach_const,-6.29,-13.20,-2.33,beta,2.75|1.91|-16.88|16.10
DE,de_vs_avg_cas_const,-9.98,-14.99,-4.94,norm,-9.97|3.06
DE,de_vs_avg_after_cas,-6.29,-7.99,-4.58,norm,-6.29|1.04
FA,fa_va_avg,74,68,80,norm,74.38|4.27
FA,fa_vs_avg,-3.76,-4.37,-2.75,gamma,15.83|-5.60|0.12
FA,fa_agl,2.98,2.22,3.74,norm,2.98|0.46
LD,ld_v_app,72.1,65.3,78.9,norm,72.10|4.70
LD,ld_d_brk,1.51,0.66,3.71,beta,1.65|2.94|0.35|4.63
LD,ld_acc_brk,-1.10,-1.94,-0.52,beta,4.70|3.14|-2.76|2.62
