phase,param,opt,min,max,model,pm
TO,to_v_lof,90.8,80.1,101.5,norm,90.80|7.45
TO,to_d_tof,1.85,1.18,2.52,norm,1.85|0.41
TO,to_acc_tof,1.95,1.49,2.42,norm,1.95|0.28
IC,ic_va_avg,86,79,94,norm,86.60|5.22
IC,ic_vs_avg,13.21,9.34,17.11,norm,13.22|2.36
CL,cl_d_range,230,164,426,gamma,4.93|140.03|22.96
CL,cl_v_cas_const,155,144,166,norm,155.67|6.67
CL,cl_v_mach_const,0.77,0.74,0.81,norm,0.77|0.02
CL,cl_h_cas_const,3.7,2.1,5.4,norm,3.75|0.98
CL,cl_h_mach_const,8.4,7.5,9.3,norm,8.41|0.56
CL,cl_vs_avg_pre_cas,9.38,7.03,11.73,norm,9.38|1.43
CL,cl_vs_avg_cas_const,8.17,5.91,10.44,norm,8.17|1.38
CL,cl_vs_avg_mach_const,5.19,3.33,7.05,norm,5.19|1.13
CR,cr_d_range,610,196,5338,gamma,1.56|162.63|789.69
CR,cr_v_cas_mean,138,127,149,norm,138.28|6.66
CR,cr_v_cas_max,140,130,162,gamma,5.67|121.09|4.11
CR,cr_v_mach_mean,0.78,0.75,0.80,norm,0.78|0.02
CR,cr_v_mach_max,0.79,0.77,0.84,gamma,13.42|0.72|0.01
CR,cr_h_init,10.34,9.23,11.46,norm,10.35|0.68
CR,cr_h_mean,10.41,9.36,11.46,norm,10.41|0.64
CR,cr_h_max,10.56,9.60,11.52,norm,10.56|0.58
DE,de_d_range,236,174,463,gamma,3.63|159.06|29.37
DE,de_v_mach_const,0.77,0.74,0.80,norm,0.77|0.02
DE,de_v_cas_const,150,138,163,norm,150.75|7.62
DE,de_h_mach_const,9.0,7.8,10.3,norm,9.05|0.76
DE,de_h_cas_const,6.2,3.3,8.5,beta,2.88|2.40|1.57|8.08
DE,de_vs_avg_mach_const,-5.52,-11.86,-2.17,beta,4.06|2.31|-17.23|16.72
DE,de_vs_avg_cas_const,-9.41,-13.64,-5.15,norm,-9.40|2.58
DE,de_vs_avg_after_cas,-6.01,-7.78,-4.24,norm,-6.01|1.08
FA,fa_va_avg,75,70,80,norm,75.41|3.61
FA,fa_vs_avg,-3.69,-4.36,-3.01,norm,-3.68|0.41
FA,fa_agl,3.01,2.36,3.66,norm,3.01|0.39
LD,ld_v_app,72.9,66.9,78.9,norm,72.94|4.17
LD,ld_d_brk,1.55,0.64,3.94,beta,1.50|2.41|0.34|4.65
LD,ld_acc_brk,-1.21,-1.98,-0.45,norm,-1.21|0.47
