phase,param,opt,min,max,model,pm
TO,to_v_lof,82.7,72.5,92.9,norm,82.71|7.10
TO,to_d_tof,1.51,1.06,2.41,gamma,8.56|0.43|0.14
TO,to_acc_tof,1.84,1.38,2.29,norm,1.84|0.28
IC,ic_va_avg,80,73,87,norm,80.26|4.86
IC,ic_vs_avg,12.27,9.52,15.04,norm,12.28|1.68
CL,cl_d_range,206,157,348,gamma,5.16|138.89|16.28
CL,cl_v_cas_const,149,140,159,norm,150.02|6.06
CL,cl_v_mach_const,0.77,0.74,0.80,beta,16.21|6.30|0.62|0.20
CL,cl_h_cas_const,3.2,2.1,6.0,gamma,5.22|0.99|0.53
CL,cl_h_mach_const,8.9,8.0,9.8,norm,8.93|0.55
CL,cl_vs_avg_pre_cas,11.10,8.41,13.80,norm,11.11|1.64
CL,cl_vs_avg_cas_const,10.15,7.63,12.67,norm,10.15|1.53
CL,cl_vs_avg_mach_const,6.07,3.99,8.16,norm,6.08|1.27
CR,cr_d_range,299,182,4019,gamma,1.19|173.76|669.46
CR,cr_v_cas_mean,125,119,139,gamma,4.75|114.21|2.92
CR,cr_v_cas_max,128,121,148,gamma,3.54|116.92|4.46
CR,cr_v_mach_mean,0.77,0.74,0.80,norm,0.77|0.02
CR,cr_v_mach_max,0.79,0.75,0.82,norm,0.79|0.02
CR,cr_h_init,11.54,10.27,11.97,beta,7.48|2.22|8.11|4.08
CR,cr_h_mean,11.54,10.21,11.97,beta,7.00|2.13|8.10|4.09
CR,cr_h_max,11.64,10.30,12.03,beta,6.12|1.89|8.42|3.79
DE,de_d_range,233,176,473,gamma,3.15|163.83|32.50
DE,de_v_mach_const,0.76,0.72,0.80,norm,0.76|0.03
DE,de_v_cas_const,145,136,164,gamma,6.49|126.84|3.35
DE,de_h_mach_const,9.2,7.7,10.7,norm,9.18|0.92
DE,de_h_cas_const,5.3,2.6,8.1,norm,5.34|1.66
DE,de_vs_avg_mach_const,-5.87,-12.13,-2.41,beta,3.27|2.09|-16.27|15.37
DE,de_vs_avg_cas_const,-9.84,-14.22,-5.45,norm,-9.83|2.66
DE,de_vs_avg_after_cas,-5.88,-7.69,-4.07,norm,-5.88|1.10
FA,fa_va_avg,67,63,76,gamma,6.43|57.71|1.84
FA,fa_vs_avg,-3.42,-4.19,-2.65,norm,-3.42|0.47
FA,fa_agl,3.15,2.25,4.05,norm,3.15|0.55
LD,ld_v_app,66.2,61.0,71.5,norm,66.23|3.65
LD,ld_d_brk,1.38,0.71,4.18,gamma,2.62|0.28|0.68
LD,ld_acc_brk,-0.87,-1.79,-0.35,beta,5.62|2.87|-2.90|2.86
