icao,lat,lon,alt,country,name,location
SCGZ,-54.93096,-67.63752,88,AR,Guardiamarina Zanartu,Ushuaia
SCHL,49.74875,-122.15354,42,CA,Harrison Lake Logging Camp,Chilliwack
SCHR,-47.24408,-72.59514,643,CL,Cochrane,Cochrane
SCIE,-36.78203,-73.06857,26,CL,Carriel Sur Intl,Concepcion
SCIM,-38.38646,-73.86805,20,CL,Isla Mocha,Canete
SCIP,-27.15796,-109.43667,227,CL,Mataveri Intl,Hanga Roa
SCIR,-33.66204,-78.93269,433,CL,Isla Robinson Crusoe,Talcahuano
SCJO,-40.60487,-73.06667,187,CL,Canal Bajo,Osorno
SCKO,-37.99657,-72.251,1226,CL,Agua Buena,Collipulli
SCKP,-20.73748,-68.68515,12468,CL,Coposa,Iquique
SCKT,-36.4976,-72.68245,216,CL,Torreon,Tome
SCLB,-37.66168,-73.62987,587,CL,Los Pehuenches,Lebu
SCLC,-33.37623,-70.58213,2247,CL,Las Condes,"Villa Presidente Frei, Nunoa, Santiago, Chile"
SCLD,-41.86351,-71.93915,997,AR,Llanada Grande,Lago Puelo
SCLL,-28.59546,-70.76313,1725,CL,Vallenar,Vallenar
SCLN,-35.85722,-71.54746,587,CL,Linares,Linares
SCLY,-37.21897,-73.23795,32,CL,La Playa,Arauco
SCMB,-23.55972,-70.39944,131,CL,La Chimba,Antofagasta
SCMK,-43.89092,-73.73763,35,CL,Melinka,Puerto Quellon
SCML,-38.86103,-71.81905,1388,CL,Melipeuco,Pucon
SCNM,-37.7781,-73.38389,252,CL,Las Misiones,Canete
SCNT,-51.66756,-72.53943,217,CL,Teniente Julio Gallardo,Puerto Natales
SCOH,-48.46458,-72.56338,899,CL,Rio Mayer,Cochrane
SCOL,-40.68853,-72.34821,676,CL,Refugio Del Lago,Puyehue
SCON,-43.14027,-73.64132,39,CL,Quellon,Puerto Quellon
SCOS,-40.5434,-73.1592,79,CL,Pampa Alegre,Osorno
SCOT,-30.67796,-71.40558,787,CL,Santa Rosa De Tabali,Ovalle
SCPC,-39.2911,-71.92563,853,CL,Pucon,Pucon
SCPE,-22.91556,-68.16534,7960,CL,San Pedro De Atacama,San Pedro de Atacama
SCPF,-41.45858,-72.92013,367,CL,Marcel Marchant,Puerto Montt
SCPH,-44.37875,-72.59173,43,CL,Puyuhuapi,Puerto Cisnes
SCPI,-36.59076,-71.81017,804,CL,Pullami,Coihueco
SCPL,-40.13021,-72.66155,700,CL,Calpulli,Rio Bueno
SCPP,-37.83682,-72.01257,1680,CL,Poco A Poco,Mulchen
SCPQ,-42.3313,-73.71498,567,CL,Mocopulli,Castro
SCPU,-41.05953,-72.01105,900,AR,Peulla,Villa La Angostura
SCPV,-41.34594,-72.94849,430,CL,El Mirador,Puerto Varas
SCQC,-38.33739,-72.58999,823,CL,La Colmena,Traiguen
SCQI,-38.74057,-71.20206,3725,AR,Icalma,Alumine
SCQK,-38.36516,-73.49023,220,CL,Lequecahue,Carahue
SCQT,-30.09149,-71.36462,140,CL,Las Tacas,Coquimbo
SCQY,-38.44981,-71.36066,3182,AR,Villa Portales,Loncopue
SCRA,-26.33182,-70.61334,97,CL,Chanaral,Diego de Almagro
SCRG,-34.17986,-70.78106,1446,CL,De La Independencia,Rancagua
SCRM,-62.18828,-58.9983,147,FK,Teniente Rodolfo Marsh Martin,Stanley
SCSB,-52.73916,-69.33939,105,AR,Franco Bianco,Rio Gallegos
SCSE,-29.91241,-71.20854,481,CL,La Florida,La Serena
