phase,param,opt,min,max,model,pm
TO,to_v_lof,85.3,74.5,96.0,norm,85.29|7.47
TO,to_d_tof,1.65,1.06,2.24,norm,1.65|0.36
TO,to_acc_tof,1.93,1.50,2.37,norm,1.93|0.27
IC,ic_va_avg,83,76,89,norm,83.31|4.64
IC,ic_vs_avg,12.59,9.15,16.04,norm,12.59|2.09
CL,cl_d_range,257,141,374,norm,258.08|45.16
CL,cl_v_cas_const,151,140,161,norm,151.04|6.27
CL,cl_v_mach_const,0.78,0.73,0.80,beta,12.39|3.68|0.60|0.22
CL,cl_h_cas_const,3.7,1.9,5.4,norm,3.66|1.07
CL,cl_h_mach_const,8.8,7.9,9.8,norm,8.80|0.58
CL,cl_vs_avg_pre_cas,10.25,7.63,12.87,norm,10.25|1.59
CL,cl_vs_avg_cas_const,8.43,6.28,10.60,norm,8.44|1.31
CL,cl_vs_avg_mach_const,5.28,3.60,6.97,norm,5.29|1.03
CR,cr_d_range,856,487,4352,gamma,1.71|453.95|569.12
CR,cr_v_cas_mean,133,124,143,norm,133.62|5.82
CR,cr_v_cas_max,135,128,154,gamma,4.89|121.28|3.70
CR,cr_v_mach_mean,0.78,0.75,0.80,beta,17.82|5.05|0.62|0.20
CR,cr_v_mach_max,0.80,0.77,0.83,norm,0.80|0.02
CR,cr_h_init,10.82,9.79,11.85,norm,10.82|0.63
CR,cr_h_mean,10.92,10.00,11.84,norm,10.92|0.56
CR,cr_h_max,11.06,10.20,11.92,norm,11.06|0.52
DE,de_d_range,234,180,457,gamma,3.15|169.28|30.17
DE,de_v_mach_const,0.77,0.73,0.81,norm,0.77|0.02
DE,de_v_cas_const,144,135,163,gamma,7.43|124.57|3.15
DE,de_h_mach_const,9.6,7.9,10.7,beta,4.91|2.91|6.03|5.37
DE,de_h_cas_const,5.7,3.0,8.5,norm,5.75|1.66
DE,de_vs_avg_mach_const,-5.76,-13.45,-2.26,beta,3.52|1.95|-19.00|18.22
DE,de_vs_avg_cas_const,-10.03,-14.68,-5.35,norm,-10.02|2.84
DE,de_vs_avg_after_cas,-6.08,-7.88,-4.27,norm,-6.08|1.10
FA,fa_va_avg,72,67,77,norm,72.43|3.49
FA,fa_vs_avg,-3.55,-4.18,-2.91,norm,-3.55|0.39
FA,fa_agl,3.06,2.40,3.73,norm,3.07|0.41
LD,ld_v_app,69.4,62.7,76.0,norm,69.37|4.61
LD,ld_d_brk,1.08,0.63,3.21,gamma,2.36|0.35|0.54
LD,ld_acc_brk,-1.22,-1.97,-0.47,norm,-1.22|0.46
