phase,param,opt,min,max,model,pm
TO,to_v_lof,87.0,76.0,98.2,norm,87.08|7.70
TO,to_d_tof,2.16,1.46,3.82,gamma,5.71|0.71|0.31
TO,to_acc_tof,1.40,1.01,1.80,norm,1.40|0.24
IC,ic_va_avg,84,76,93,beta,3.76|4.87|69.49|35.32
IC,ic_vs_avg,6.44,4.82,11.01,gamma,4.18|3.43|0.95
CL,cl_d_range,293,154,431,norm,293.32|53.81
CL,cl_v_cas_const,155,144,169,beta,6.81|9.57|129.33|64.98
CL,cl_v_mach_const,0.78,0.75,0.81,norm,0.78|0.02
CL,cl_h_cas_const,3.6,1.7,5.5,norm,3.61|1.16
CL,cl_h_mach_const,8.5,7.3,9.8,beta,5.08|5.89|6.16|5.14
CL,cl_vs_avg_pre_cas,6.54,5.09,10.41,gamma,4.51|3.79|0.78
CL,cl_vs_avg_cas_const,6.59,4.87,10.05,gamma,8.32|2.54|0.55
CL,cl_vs_avg_mach_const,4.08,2.65,7.17,gamma,6.86|0.95|0.53
CR,cr_d_range,6021,-1865,13929,norm,6032.29|3066.01
CR,cr_v_cas_mean,138,128,148,norm,138.63|6.17
CR,cr_v_cas_max,149,132,165,norm,149.24|9.97
CR,cr_v_mach_mean,0.81,0.79,0.83,norm,0.81|0.01
CR,cr_v_mach_max,0.83,0.81,0.88,gamma,11.93|0.77|0.01
CR,cr_h_init,10.01,8.92,12.09,gamma,9.56|7.32|0.32
CR,cr_h_mean,10.86,10.12,12.10,gamma,15.04|8.66|0.16
CR,cr_h_max,11.70,10.61,12.35,beta,6.39|3.32|9.14|3.66
DE,de_d_range,281,203,489,gamma,5.92|169.03|22.84
DE,de_v_mach_const,0.81,0.76,0.84,beta,7.14|4.09|0.69|0.17
DE,de_v_cas_const,154,138,165,beta,3.94|2.85|125.92|46.48
DE,de_h_mach_const,9.9,8.3,11.1,beta,3.65|2.90|7.05|4.83
DE,de_h_cas_const,5.8,3.0,8.8,beta,2.75|2.94|1.39|9.27
DE,de_vs_avg_mach_const,-5.84,-12.15,-2.68,beta,4.78|2.43|-18.58|17.56
DE,de_vs_avg_cas_const,-9.27,-13.56,-4.97,norm,-9.26|2.61
DE,de_vs_avg_after_cas,-5.50,-7.22,-3.78,norm,-5.50|1.04
FA,fa_va_avg,74,69,79,norm,74.30|3.48
FA,fa_vs_avg,-3.64,-4.31,-2.97,norm,-3.64|0.41
FA,fa_agl,3.04,2.47,3.61,norm,3.04|0.35
LD,ld_v_app,72.2,67.5,77.0,norm,72.26|3.30
LD,ld_d_brk,1.65,0.92,3.99,gamma,3.45|0.37|0.52
LD,ld_acc_brk,-1.01,-1.83,-0.49,beta,4.33|2.73|-2.58|2.38
