phase,param,opt,min,max,model,pm
TO,to_v_lof,90.3,74.4,106.3,norm,90.35|11.10
TO,to_d_tof,2.16,1.08,3.25,norm,2.16|0.66
TO,to_acc_tof,1.61,1.16,2.07,norm,1.61|0.28
IC,ic_va_avg,87,78,97,beta,3.16|3.65|71.08|36.50
IC,ic_vs_avg,10.65,6.27,14.45,beta,6.24|5.05|0.78|17.49
CL,cl_d_range,286,146,427,norm,287.05|54.42
CL,cl_v_cas_const,158,146,170,norm,158.68|7.34
CL,cl_v_mach_const,0.85,0.81,0.87,beta,14.41|4.76|0.69|0.21
CL,cl_h_cas_const,3.8,2.5,6.3,gamma,7.78|0.85|0.43
CL,cl_h_mach_const,9.5,8.4,10.6,norm,9.52|0.68
CL,cl_vs_avg_pre_cas,9.58,7.32,11.85,norm,9.58|1.38
CL,cl_vs_avg_cas_const,9.02,6.12,11.93,norm,9.02|1.77
CL,cl_vs_avg_mach_const,6.02,3.59,8.47,norm,6.03|1.48
CR,cr_d_range,1874,269,11619,beta,1.14|1.87|206.46|12053.57
CR,cr_v_cas_mean,132,126,146,gamma,6.84|119.57|2.28
CR,cr_v_cas_max,139,130,164,gamma,4.29|122.70|5.16
CR,cr_v_mach_mean,0.85,0.83,0.87,norm,0.85|0.01
CR,cr_v_mach_max,0.87,0.85,0.91,gamma,16.44|0.80|0.00
CR,cr_h_init,11.65,10.37,12.92,norm,11.65|0.78
CR,cr_h_mean,12.01,11.16,12.85,norm,12.01|0.51
CR,cr_h_max,12.28,11.52,13.06,norm,12.29|0.47
DE,de_d_range,292,219,551,gamma,3.85|198.90|32.88
DE,de_v_mach_const,0.84,0.80,0.87,norm,0.84|0.02
DE,de_v_cas_const,153,140,167,norm,153.71|8.29
DE,de_h_mach_const,10.5,8.8,11.7,beta,3.43|2.59|7.57|4.76
DE,de_h_cas_const,7.0,4.4,9.7,norm,7.06|1.58
DE,de_vs_avg_mach_const,-7.59,-14.16,-3.35,beta,3.41|2.37|-18.73|17.46
DE,de_vs_avg_cas_const,-9.52,-13.91,-5.11,norm,-9.51|2.67
DE,de_vs_avg_after_cas,-6.20,-7.94,-4.45,norm,-6.19|1.06
FA,fa_va_avg,75,70,80,norm,75.58|3.36
FA,fa_vs_avg,-3.99,-4.59,-3.11,gamma,24.44|-6.14|0.09
FA,fa_agl,2.88,2.37,3.40,norm,2.88|0.31
LD,ld_v_app,71.3,62.0,80.6,norm,71.29|6.48
LD,ld_d_brk,2.08,0.45,3.71,norm,2.08|0.99
LD,ld_acc_brk,-1.12,-1.79,-0.46,norm,-1.12|0.40
