phase,param,opt,min,max,model,pm
TO,to_v_lof,90.5,76.8,104.3,norm,90.55|9.57
TO,to_d_tof,1.70,0.98,2.66,beta,3.89|5.55|0.41|3.34
TO,to_acc_tof,1.91,1.46,2.37,norm,1.91|0.28
IC,ic_va_avg,88,78,98,norm,88.51|7.17
IC,ic_vs_avg,12.99,8.60,17.40,norm,13.00|2.68
CL,cl_d_range,220,167,384,gamma,4.69|149.01|19.46
CL,cl_v_cas_const,155,144,166,norm,155.59|6.70
CL,cl_v_mach_const,0.79,0.75,0.82,norm,0.79|0.02
CL,cl_h_cas_const,4.0,2.3,5.7,norm,4.00|1.02
CL,cl_h_mach_const,8.7,8.0,9.5,norm,8.75|0.48
CL,cl_vs_avg_pre_cas,10.29,7.80,12.80,norm,10.30|1.52
CL,cl_vs_avg_cas_const,8.95,6.41,11.51,norm,8.96|1.55
CL,cl_vs_avg_mach_const,6.23,3.80,8.67,norm,6.24|1.48
CR,cr_d_range,497,512,6087,beta,0.99|1.86|497.24|5936.62
CR,cr_v_cas_mean,131,123,145,gamma,11.69|110.95|1.94
CR,cr_v_cas_max,138,128,159,gamma,6.92|116.87|3.65
CR,cr_v_mach_mean,0.79,0.77,0.82,norm,0.79|0.02
CR,cr_v_mach_max,0.81,0.79,0.86,gamma,9.66|0.75|0.01
CR,cr_h_init,11.00,9.96,12.05,norm,11.00|0.63
CR,cr_h_mean,11.17,10.28,12.07,norm,11.17|0.54
CR,cr_h_max,11.64,10.39,12.22,beta,5.67|2.52|8.87|3.67
DE,de_d_range,247,178,504,gamma,3.53|162.02|33.57
DE,de_v_mach_const,0.79,0.75,0.82,norm,0.79|0.02
DE,de_v_cas_const,151,137,165,norm,151.53|8.29
DE,de_h_mach_const,9.4,8.0,10.8,norm,9.40|0.84
DE,de_h_cas_const,6.3,3.9,8.8,norm,6.35|1.50
DE,de_vs_avg_mach_const,-6.80,-12.65,-2.52,beta,2.78|2.22|-15.86|15.25
DE,de_vs_avg_cas_const,-9.56,-14.46,-4.64,norm,-9.55|2.99
DE,de_vs_avg_after_cas,-6.16,-7.90,-4.41,norm,-6.15|1.06
FA,fa_va_avg,69,62,76,norm,69.77|4.86
FA,fa_vs_avg,-3.41,-4.20,-2.62,norm,-3.41|0.48
FA,fa_agl,3.09,2.20,3.98,norm,3.09|0.54
LD,ld_v_app,66.7,60.2,73.2,norm,66.71|4.50
LD,ld_d_brk,1.21,0.68,3.43,gamma,2.56|0.35|0.55
LD,ld_acc_brk,-1.03,-1.85,-0.46,beta,4.58|3.08|-2.63|2.53
