phase,param,opt,min,max,model,pm
TO,to_v_lof,89.9,77.8,102.1,norm,89.97|8.44
TO,to_d_tof,1.86,1.27,3.01,gamma,8.89|0.45|0.18
TO,to_acc_tof,1.72,1.32,2.13,norm,1.73|0.25
IC,ic_va_avg,87,79,94,norm,87.04|4.98
IC,ic_vs_avg,12.28,8.47,16.11,norm,12.29|2.32
CL,cl_d_range,287,174,456,beta,2.84|4.07|153.70|358.08
CL,cl_v_cas_const,153,142,165,norm,153.59|7.03
CL,cl_v_mach_const,0.80,0.75,0.84,norm,0.80|0.03
CL,cl_h_cas_const,3.1,1.9,6.2,gamma,4.75|0.84|0.61
CL,cl_h_mach_const,9.1,8.0,10.2,norm,9.08|0.66
CL,cl_vs_avg_pre_cas,8.82,6.46,11.19,norm,8.82|1.44
CL,cl_vs_avg_cas_const,7.65,5.24,10.08,norm,7.66|1.47
CL,cl_vs_avg_mach_const,4.56,3.14,7.90,gamma,5.77|1.63|0.61
CR,cr_d_range,789,604,8911,beta,1.02|1.72|576.76|8731.39
CR,cr_v_cas_mean,131,124,144,gamma,6.44|117.90|2.41
CR,cr_v_cas_max,137,128,161,beta,2.59|7.64|123.03|77.33
CR,cr_v_mach_mean,0.81,0.79,0.83,norm,0.81|0.01
CR,cr_v_mach_max,0.83,0.81,0.87,gamma,17.42|0.76|0.00
CR,cr_h_init,11.10,9.74,12.46,norm,11.10|0.83
CR,cr_h_mean,11.49,10.54,12.45,norm,11.50|0.58
CR,cr_h_max,12.53,10.63,12.48,beta,4.06|0.99|8.87|3.66
DE,de_d_range,284,214,508,gamma,4.31|193.23|27.46
DE,de_v_mach_const,0.81,0.77,0.84,norm,0.81|0.02
DE,de_v_cas_const,150,137,162,norm,150.13|7.55
DE,de_h_mach_const,10.2,8.5,11.3,beta,4.10|2.55|6.93|4.96
DE,de_h_cas_const,6.3,3.4,9.1,norm,6.28|1.73
DE,de_vs_avg_mach_const,-6.17,-12.50,-2.68,beta,4.37|2.47|-18.33|17.48
DE,de_vs_avg_cas_const,-9.03,-13.07,-4.96,norm,-9.02|2.46
DE,de_vs_avg_after_cas,-5.74,-7.41,-4.06,norm,-5.74|1.02
FA,fa_va_avg,73,69,78,norm,73.84|3.33
FA,fa_vs_avg,-3.74,-4.22,-2.97,gamma,16.90|-5.22|0.09
FA,fa_agl,2.97,2.44,3.49,norm,2.97|0.32
LD,ld_v_app,71.5,65.5,77.6,norm,71.55|4.18
LD,ld_d_brk,1.48,0.81,3.79,gamma,3.19|0.33|0.53
LD,ld_acc_brk,-1.20,-1.86,-0.53,norm,-1.20|0.40
