phase,param,opt,min,max,model,pm
TO,to_v_lof,92.4,79.3,105.4,norm,92.39|9.06
TO,to_d_tof,2.29,1.27,3.31,norm,2.29|0.62
TO,to_acc_tof,1.67,1.21,2.13,norm,1.67|0.28
IC,ic_va_avg,91,82,101,beta,4.95|5.64|70.82|44.93
IC,ic_vs_avg,9.24,6.76,13.74,gamma,11.16|2.72|0.64
CL,cl_d_range,223,175,374,gamma,4.44|160.55|18.26
CL,cl_v_cas_const,168,157,180,norm,168.81|7.06
CL,cl_v_mach_const,0.84,0.81,0.87,norm,0.84|0.02
CL,cl_h_cas_const,3.9,2.2,5.6,norm,3.89|1.05
CL,cl_h_mach_const,8.3,7.6,9.7,gamma,10.78|6.39|0.20
CL,cl_vs_avg_pre_cas,8.66,6.00,11.33,norm,8.67|1.62
CL,cl_vs_avg_cas_const,8.77,6.65,13.11,gamma,7.91|3.87|0.71
CL,cl_vs_avg_mach_const,6.72,4.07,9.39,norm,6.73|1.61
CR,cr_d_range,5580,-1544,12725,norm,5590.66|2769.86
CR,cr_v_cas_mean,146,134,158,norm,146.64|7.16
CR,cr_v_cas_max,157,139,174,norm,157.08|10.62
CR,cr_v_mach_mean,0.84,0.82,0.87,norm,0.84|0.01
CR,cr_v_mach_max,0.87,0.84,0.92,gamma,16.48|0.77|0.01
CR,cr_h_init,10.28,8.87,11.70,norm,10.28|0.86
CR,cr_h_mean,10.81,9.77,11.84,norm,10.81|0.63
CR,cr_h_max,11.29,10.17,12.40,beta,6.02|5.99|8.84|4.88
DE,de_d_range,262,195,510,gamma,3.60|178.39|32.24
DE,de_v_mach_const,0.83,0.77,0.87,beta,5.70|2.75|0.68|0.21
DE,de_v_cas_const,152,139,164,norm,152.44|7.62
DE,de_h_mach_const,10.0,8.7,11.3,norm,10.00|0.79
DE,de_h_cas_const,6.6,4.0,9.2,norm,6.61|1.57
DE,de_vs_avg_mach_const,-5.43,-12.37,-2.20,beta,3.86|2.07|-17.94|17.19
DE,de_vs_avg_cas_const,-9.17,-13.85,-4.48,norm,-9.16|2.85
DE,de_vs_avg_after_cas,-6.29,-8.02,-4.55,norm,-6.29|1.05
FA,fa_va_avg,79,72,85,norm,79.03|4.54
FA,fa_vs_avg,-4.03,-4.60,-3.03,gamma,13.46|-5.66|0.13
FA,fa_agl,2.98,2.33,3.64,norm,2.98|0.40
LD,ld_v_app,77.9,71.0,84.9,norm,77.96|4.85
LD,ld_d_brk,1.64,0.93,4.06,gamma,3.26|0.41|0.55
LD,ld_acc_brk,-1.18,-1.98,-0.60,beta,5.71|3.74|-2.92|2.76
