phase,param,opt,min,max,model,pm
TO,to_v_lof,91.3,77.6,105.0,norm,91.32|9.53
TO,to_d_tof,1.91,1.14,2.90,beta,4.56|6.31|0.42|3.74
TO,to_acc_tof,1.87,1.41,2.32,norm,1.87|0.28
IC,ic_va_avg,91,84,99,norm,91.92|5.26
IC,ic_vs_avg,12.36,7.85,16.90,norm,12.37|2.75
CL,cl_d_range,239,142,337,norm,239.93|37.90
CL,cl_v_cas_const,154,143,166,norm,154.87|6.96
CL,cl_v_mach_const,0.78,0.75,0.81,beta,10.40|4.40|0.66|0.16
CL,cl_h_cas_const,3.4,2.3,5.9,gamma,6.04|1.09|0.46
CL,cl_h_mach_const,8.6,7.7,9.5,norm,8.60|0.56
CL,cl_vs_avg_pre_cas,10.18,7.64,12.72,norm,10.18|1.55
CL,cl_vs_avg_cas_const,8.88,6.66,11.12,norm,8.89|1.36
CL,cl_vs_avg_mach_const,5.55,3.67,7.43,norm,5.55|1.14
CR,cr_d_range,338,193,4458,beta,1.05|2.54|180.63|4861.59
CR,cr_v_cas_mean,138,127,149,norm,138.40|6.60
CR,cr_v_cas_max,145,131,159,norm,145.21|8.55
CR,cr_v_mach_mean,0.78,0.76,0.81,norm,0.78|0.02
CR,cr_v_mach_max,0.81,0.78,0.84,norm,0.81|0.02
CR,cr_h_init,10.43,9.43,11.43,norm,10.43|0.61
CR,cr_h_mean,10.52,9.63,11.41,norm,10.52|0.54
CR,cr_h_max,10.74,9.73,11.61,beta,6.51|5.15|8.41|4.08
DE,de_d_range,245,180,505,gamma,3.29|165.75|34.68
DE,de_v_mach_const,0.78,0.73,0.80,beta,5.13|2.83|0.68|0.14
DE,de_v_cas_const,148,138,159,norm,148.73|6.45
DE,de_h_mach_const,9.4,8.2,10.6,norm,9.36|0.73
DE,de_h_cas_const,6.5,4.2,8.8,norm,6.46|1.39
DE,de_vs_avg_mach_const,-4.78,-11.29,-1.79,beta,3.42|1.92|-15.82|15.27
DE,de_vs_avg_cas_const,-8.96,-13.87,-4.17,beta,4.39|4.26|-18.26|18.26
DE,de_vs_avg_after_cas,-6.02,-7.69,-4.35,norm,-6.02|1.02
FA,fa_va_avg,78,72,83,norm,78.30|3.70
FA,fa_vs_avg,-3.92,-4.72,-3.13,norm,-3.92|0.48
FA,fa_agl,3.03,2.43,3.64,norm,3.03|0.37
LD,ld_v_app,76.8,70.5,83.2,norm,76.86|4.40
LD,ld_d_brk,1.45,0.70,4.22,gamma,2.95|0.19|0.65
LD,ld_acc_brk,-1.33,-2.12,-0.54,norm,-1.33|0.48
