orig,new
a124,b744
a19n,a320
a20n,a320
a21n,a320
a306,a332
a310,a319
a318,a319
a359,b789
at72,e190
at75,e190
at76,e190
b37m,b737
b38m,b737
b39m,b737
b3xm,b737
b733,b737
b734,b737
b735,b737
b748,b744
b762,b752
b772,b77w
b773,b77w
b77l,b77w
c25a,e190
c525,e190
c550,e190
c56x,e190
crj2,e190
crj9,e190
e145,e190
e170,e190
e75l,e190
e195,e190
e290,e190
glf5,e190
gl5t,e190
glf6,e190
lj45,e190
md11,b77w
pc24,e190
su95,e190
