ts,ff_l,ff_r,n1_l,n1_r,n2_l,n2_r,roll,acc,alt,roc,tas,sat,spress,cas,mach,alt_gnss,lat,lon,gs,hdg,trk,wspd,wagl,mass,fuelburn
7,,,,,,,-0.098876953125,-0.004161350504557291,-20.833333333333332,-37.333333333333336,0.0,11.75,30.423999999999996,0.0,0.0,-1.0,51.94905730895698,4.438117230311036,0.0,-28.57177734375,-28.6083984375,,,,
8,0.019992273325652562,0.023220896259147063,,,,,-0.098876953125,-0.004627255131648136,-20.125,-11.0,0.0,11.75,30.424000000000003,0.0,0.0,-1.0,51.94905722513795,4.438116978853941,0.0,-28.57489013671875,-28.6083984375,,,6651.182938030415,0.04321316958479962
9,0.01997009851196961,0.023217182488588103,28.255235458996975,29.380264505106442,46.69681353903836,47.374461165757,-0.1003558819110577,-0.0009438679621769825,-20.0,-3.0,0.0,11.75,30.423375000000004,0.0,0.0,-1.0,51.949056973680854,4.438117146492004,0.0,-28.57049560546875,-28.6083984375,,,6651.139750749415,0.08640045058535734
10,0.01996508201286415,0.023216141123390342,28.254006048008872,29.291047969277408,46.69123380341367,47.37039929139865,-0.1015178973858173,-0.0034761966411884,-21.0,-30.0,0.0,11.75,30.424000000000003,0.0,0.0,-1.0,51.94905672222376,4.438117230311036,0.0,-28.5677490234375,-28.6083984375,,,6651.0965695262785,0.12958167372161183
11,0.019966573909538415,0.023219561831254256,28.270085404801822,29.249810670670993,46.68526359467502,47.36297079619099,-0.10098970853365384,-0.00278556154691256,-21.0,-21.0,0.0,12.0,30.424000000000003,0.0,0.0,-1.0,51.949056554585695,4.438117230311036,0.0,-28.56610107421875,-28.564453125,,,6651.053383390538,0.1727678094624045
12,0.0199844351815324,0.023210960202514497,28.401423043183005,29.186964068762663,46.68814204304774,47.35824848996599,-0.10183481069711539,-0.0038215141883263205,-21.0,-16.0,0.0,12.0,30.424000000000003,0.0,0.0,-1.0,51.94905613549054,4.438117649406195,0.0,-28.5655517578125,-28.564453125,,,6651.010187995154,0.2159632048464514
13,0.019980896732152066,0.023208021383135494,28.4130792410644,29.170820992358205,46.689257414161645,47.35486785127416,-0.09940514197716346,-0.002233053471491887,-21.0,-18.0,0.0,12.0,30.424375000000005,0.0,0.0,0.0,51.94905588403344,4.438117649406195,0.0,-28.566650390625,-28.564453125,,,6650.966999077039,0.25915212296173895
14,0.019973935198259008,0.023198934878814897,28.352339442245874,29.14693550514986,46.69417244378886,47.35061682120378,-0.10115713443396226,-0.002071905282827524,-21.9375,-32.0,0.0,12.0,30.425000000000004,0.0,0.0,0.0,51.94905571639538,4.438117565587163,0.0,-28.5611572265625,-28.564453125,,,6650.923826206962,0.3023249930388129
15,0.01996172923129026,0.02319576840459257,28.513224602423055,29.207567593914423,46.696544682166845,47.34749465044869,-0.10109534630408654,-0.0011280373206505412,-22.0,-26.0,0.0,12.0,30.425000000000004,0.0,0.0,0.0,51.949055632576346,4.4381173979490995,0.0,-28.55950927734375,-28.564453125,,,6650.880668709326,0.3454824906746957
16,0.019958600216414324,0.02317965880555611,28.50948407728083,29.355985589046508,46.69964947534775,47.34738992043779,-0.09972205528846154,-0.004374022263746994,-22.0,5.0,0.0,12.0,30.425000000000004,0.0,0.0,0.0,51.94905546493828,4.438117314130068,0.0,-28.5589599609375,-28.564453125,,,6650.837530450303,0.38862074969666616
17,0.019964369382924136,0.023184138890170677,28.410425974545024,29.392353339459838,46.70743622184266,47.34572856597674,-0.10120098407451923,-0.0003162153136055427,-21.8125,0.0,0.0,12.0,30.425000000000004,0.0,0.0,0.0,51.94905529730022,4.438117146492004,0.0,-28.55621337890625,-28.564453125,,,6650.794381942031,0.43176925796976096
18,0.019961577626978633,0.023181144510807224,28.391267396887805,29.2500229989334,46.70686186779516,47.350342431903314,-0.10056715745192307,-0.0008517832829402042,-21.125,2.0,0.0,12.0,30.424750000000003,0.0,0.0,0.0,51.949054626747966,4.4381162244826555,0.0,-28.55731201171875,-28.564453125,,,6650.751239219893,0.4749119801075468
19,0.01994967482272772,0.023181252853819927,28.209361774041312,29.141980239992865,46.71249433969625,47.353930092310364,-0.10130662184495193,-0.002624413358248197,-21.0,8.0,0.0,12.0,30.424000000000003,0.0,0.0,0.0,51.949054542928934,4.43811597302556,0.0,-28.553466796875,-28.564453125,,,6650.708108292216,0.5180429077840945
20,0.019943502373464154,0.023173360431157964,28.108421572364865,29.235901417805977,46.720984752419675,47.371769704748246,-0.10236299954927884,-0.0034761966411884014,-21.0,-14.0,0.0,12.0,30.424375000000005,0.0,0.0,-3.0,51.94906275719404,4.438061406835914,0.0,-28.55072021484375,-28.564453125,,,6650.664991429412,0.5611597705887166
21,0.01994031760153967,0.02317310739235477,28.161064516048857,29.31950146307787,46.71415079770972,47.38183120872548,-0.102996826171875,-0.002670455697866586,-21.0,-4.0,0.0,12.0,30.424000000000003,0.0,0.0,-3.0,51.94906258955598,4.438060401007533,0.0,-28.5479736328125,-28.564453125,,,6650.621878004418,0.6042731955826111
22,0.019923833019603213,0.02317287789440968,28.202433305237676,29.259680538408908,46.70442455694119,47.3690686904263,-0.10405320387620193,-0.0012661643395057089,-21.0,6.0,0.0,12.0,30.424000000000003,0.0,0.0,-2.0,51.94906376302242,4.438060987740755,0.0,-28.54742431640625,-28.564453125,,,6650.578781293504,0.647369906496624
23,0.01993497129448116,0.02317239486193064,28.40925884858922,29.229069280533267,46.69627789711968,47.37305171622315,-0.10405320387620193,-0.0014963760375976559,-21.0,-5.0,0.0,12.0,30.424000000000003,0.0,0.0,-2.0,51.949063930660486,4.4380611553788185,0.0,-28.54412841796875,-28.564453125,,,6650.5356739273475,0.6904772726530357
24,0.019939088955149745,0.023163506522825363,28.38294563673315,29.493142584905222,46.697805701979036,47.37245865612642,-0.1043701171875,-0.00244024399977464,-21.0,-16.0,0.0,12.0,30.424000000000003,0.0,0.0,-2.0,51.94906409829855,4.438061574473977,0.0,-28.540283203125,-28.564453125,,,6650.49257133187,0.7335798681310108
