engine,cruise_thrust,cruise_sfc,cruise_mach,cruise_alt
RB.211-524G-T,52546,0.0161,0.85,35000
RB.211-524G/H,52546,0.0161,0.85,35000
RB.211-524G/H-T,52546,0.0161,0.85,35000
RB.211-524H,52546,0.0161,0.85,35000
RB.211-524H-T,52546,0.0161,0.85,35000
RB.211-535C-37,37600,0.0183,0.8,35000
RB.211-535E4-37,38699,0.0169,0.8,35000
Spey RSp.1 Mk.505-5,13656,0.0216,0.77,32000
Spey RSp.3 Mk.506-2,13656,0.0216,0.77,32000
Spey RSp.3 Mk.506-14,13656,0.0216,0.77,32000
Spey RSp.3 Mk.506-14A,13656,0.0216,0.77,32000
Spey RSp.3W Mk.506-14AW,13656,0.0216,0.77,32000
Spey RSp.3 Mk.506-14D,13656,0.0216,0.77,32000
Spey RSp.4 Mk.510-5,13656,0.0218,0.77,32000
Spey RSp.4 Mk.510-14,13656,0.0218,0.77,32000
Spey RSp.4 Mk.510-14W,13656,0.0218,0.77,32000
Spey RSp.4 Mk.511-5,13656,0.0218,0.77,32000
Spey RSp.4 Mk.511-5W,13656,0.0218,0.77,32000
Spey RSp.4 Mk.511-8,13656,0.0218,0.77,32000
Spey RSp.4 Mk.511-14,13656,0.0218,0.77,32000
Spey RSp.4 Mk.511-14W,13656,0.0218,0.77,32000
Spey RSp.4 Mk.512-5W,13656,,0.77,32000
Spey RSp.4 Mk.512-14,13656,,0.77,32000
Spey RSp.4 Mk.512-14DW,13656,,0.77,32000
Spey RSp.4 Mk.512-14DWE,13656,,0.77,32000
Spey RSp.4 Mk.512-25,13656,,0.77,32000
Trent 772-60,51154,0.016,0.82,35000
Trent 890-17,57826,0.0158,0.83,35000
M45H-D Mk.501,12210,0.0205,0.65,20000
PS-7,15199,0.0176,0.8,36000
PS-9,20595,0.0167,0.8,36000
PS-12,25199,0.0156,0.8,36000
PS-12M,26965,0.0157,0.8,36000
