uid,name,manufacturer,type,bpr,pr,max_thrust,ei_hc_to,ei_hc_co,ei_hc_app,ei_hc_idl,ei_co_to,ei_co_co,ei_co_app,ei_co_idl,ei_nox_to,ei_nox_co,ei_nox_app,ei_nox_idl,ff_to,ff_co,ff_app,ff_idl,fuel_lto,fuel_c3,fuel_c2,fuel_c1,cruise_thrust,cruise_sfc,cruise_mach,cruise_alt
8CM057,CFM56-5B6/3,CFM International,TF,5.9,24.3,104500,0.02,0.03,0.07,2.93,0.17,0.17,4.35,38.39,17.73,14.88,8.29,3.94,0.965,0.8,0.279,0.095,361,0.374747,-0.479734,1.07263,,,,
3CM028,CFM56-5B6/P,CFM International,TF,6.0,24.64,104530,0.2,0.2,0.6,5.5,0.9,1,2.9,27.7,23.6,19.6,9.2,4,0.961,0.799,0.275,0.097,363,0.341933,-0.429916,1.05201,,,,
8CM058,CFM56-5B7/3,CFM International,TF,5.7,27.3,120100,0.02,0.02,0.05,1.92,0.25,0.16,3.24,32.07,21.57,17.23,8.85,4.22,1.142,0.939,0.316,0.102,407,0.393809,-0.426687,1.17745,,,,
6CM044,CFM56-5B7/P,CFM International,TF,5.9,27.69,120110,0.2,0.2,0.5,4.6,0.9,0.9,2.3,23.4,28,23.2,10,4.3,1.132,0.935,0.312,0.104,408,0.347124,-0.367526,1.15537,,,,
8CM059,CFM56-5B8/3,CFM International,TF,6.0,22.7,96100,0.03,0.03,0.08,3.76,0.15,0.21,5.12,42.82,16.1,13.79,7.96,3.77,0.875,0.727,0.26,0.091,338,0.391105,-0.538374,1.02487,,,,
7CM048,CFM56-5B8/P,CFM International,TF,5.9,22.6,94700,0.1,0.1,0.9,6.5,0.8,0.8,3.9,32.9,19.7,16.7,8.4,3.4,0.875,0.729,0.262,0.094,342,0.396145,-0.558359,1.04006,,,,
7CM050,CFM56-5B9/2P,CFM International,TF,5.9,24.4,102200,0.2,0.3,0.4,4.4,2.9,8.1,21,44.1,13.9,10.7,7.6,3.2,0.961,0.799,0.296,0.105,381,0.515894,-0.754174,1.20219,,,,
8CM060,CFM56-5B9/3,CFM International,TF,5.9,24.2,103600,0.02,0.03,0.07,3.01,0.16,0.17,4.42,38.8,17.54,14.76,8.26,3.92,0.956,0.793,0.278,0.095,359,0.380333,-0.495124,1.07344,,,,
7CM049,CFM56-5B9/P,CFM International,TF,5.9,24,102200,0.1,0.1,0.8,5.9,0.8,0.8,3.7,30.4,21.4,17.9,8.8,3.6,0.954,0.794,0.28,0.098,365,0.380749,-0.511995,1.08814,,,,
1CM010,CFM56-5C2,CFM International,MTF,6.8,28.8,138780,0.008,0.008,0.082,5.68,0.93,0.8,1.75,34,32.6,25.8,10,4.19,1.308,1.076,0.3558,0.1175,466,0.412884,-0.41522,1.31362,30759,0.0154,0.8,35000
7CM045,CFM56-5C2/P,CFM International,MTF,6.8,28.2,137610,0,0,0,5.8,0.8,0.7,2.1,35.1,29.7,23.8,9.3,3.9,1.252,1.035,0.342,0.109,441,0.316114,-0.296817,1.23556,,,,
1CM011,CFM56-5C3,CFM International,MTF,6.7,29.9,144570,0.008,0.008,0.074,5.35,0.98,0.82,1.57,32.6,34.7,27.1,10.4,4.26,1.373,1.131,0.37,0.1203,483,0.37392,-0.340137,1.34255,30737,0.0154,0.8,35000
7CM046,CFM56-5C3/P,CFM International,MTF,6.7,29.2,143330,0,0,0,5.4,0.8,0.7,1.9,33.4,31.6,25.1,9.6,4,1.316,1.085,0.355,0.112,458,0.327132,-0.282087,1.27384,,,,
2CM015,CFM56-5C4,CFM International,MTF,6.6,31.15,151250,0.008,0.008,0.065,5,1,0.85,1.4,30.93,37.67,29.05,10.67,4.28,1.456,1.195,0.386,0.124,505,0.392845,-0.322979,1.3895,31582,0.0154,0.8,35000
7CM047,CFM56-5C4/P,CFM International,MTF,6.6,30.5,149900,0,0,0,5,0.8,0.7,1.6,31.6,34.1,26.7,9.9,4.1,1.395,1.143,0.37,0.115,478,0.378088,-0.30589,1.32562,,,,
3CM029,CFM56-7B18,CFM International,TF,5.5,21.59,86740,0.1,0.1,0.1,3.5,0.6,0.4,3.6,28.3,19.2,16.6,9.1,4.3,0.854,0.714,0.26,0.097,344,0.41306,-0.605716,1.04981,24109,,0.8,35000
8CM061,CFM56-7B18/3,CFM International,TF,5.5,21.4,86700,0.03,0.03,0.08,4.51,0.17,0.28,5.54,46.64,14.81,13,7.78,3.65,0.842,0.702,0.256,0.092,333,0.407412,-0.589766,1.02709,,,,
3CM030,CFM56-7B20,CFM International,TF,5.4,22.61,91630,0.1,0.1,0.1,3.1,0.6,0.5,3.2,25.9,20.5,17.4,9.5,4.3,0.913,0.761,0.274,0.1,361,0.424823,-0.603119,1.09443,24242,0.0179,0.8,35000
4CM039,CFM56-7B20/2,CFM International,TF,5.4,22.77,91630,0.07,0.23,0.36,8.11,4.26,11.38,11.37,49.71,13.25,10.81,9.39,3.75,0.903,0.754,0.278,0.102,363,0.463675,-0.686871,1.12932,,,,
8CM062,CFM56-7B20/3,CFM International,TF,5.5,22.4,91600,0.03,0.03,0.08,3.84,0.15,0.23,5.03,43.31,15.61,13.53,7.98,3.77,0.896,0.746,0.268,0.094,348,0.39598,-0.554384,1.05711,,,,
11CM067,CFM56-7B20E,CFM International,TF,5.5,22.4,91600,0.03,0.03,0.08,3.84,0.15,0.23,5.03,43.31,15.61,13.5,8,3.8,0.896,0.746,0.268,0.094,348,0.39598,-0.554384,1.05711,,,,
3CM031,CFM56-7B22,CFM International,TF,5.3,24.41,100970,0.1,0.1,0.1,2.5,0.5,0.6,2.5,22.8,23.1,19,10,4.5,1.021,0.844,0.298,0.105,390,0.47283,-0.624383,1.17562,24242,,0.8,35000
4CM040,CFM56-7B22/2,CFM International,TF,5.3,24.61,100970,0.06,0.1,6.06,7.26,2.18,6.58,30.87,45.35,15.08,12.16,6.37,3.94,1.008,0.837,0.303,0.105,389,0.4785,-0.670855,1.20321,,,,
8CM063,CFM56-7B22/3,CFM International,TF,5.3,24.2,101000,0.02,0.03,0.07,2.83,0.16,0.17,4.18,37.9,17.4,14.67,8.35,3.95,1.004,0.832,0.291,0.099,377,0.399435,-0.514626,1.12192,,,,
11CM068,CFM56-7B22E,CFM International,TF,5.3,24.2,101000,0.02,0.03,0.07,2.83,0.16,0.17,4.18,37.9,17.4,14.67,8.35,3.95,1.004,0.832,0.291,0.099,376,0.399435,-0.514626,1.12192,,,,
11CM069,CFM56-7B22E/B1,CFM International,TF,5.3,24.2,101000,0.02,0.03,0.07,2.83,0.16,0.17,4.18,37.9,17.4,14.67,8.35,3.95,1.004,0.832,0.291,0.099,376,0.399435,-0.514626,1.12192,,,,
3CM032,CFM56-7B24,CFM International,TF,5.2,25.78,107650,0.1,0.1,0.1,2.4,0.4,0.6,2.2,22,25.3,20.5,10.1,4.4,1.103,0.91,0.316,0.109,412,0.470819,-0.59091,1.22619,24376,0.0178,0.8,35000
4CM041,CFM56-7B24/2,CFM International,TF,5.2,25.95,107650,0.05,0.07,6.01,6.55,1.38,4.3,30.32,42.72,16.63,13.23,6.72,4.08,1.089,0.902,0.313,0.109,410,0.433788,-0.550456,1.20889,,,,
8CM064,CFM56-7B24/3,CFM International,TF,5.3,25.6,107600,0.02,0.03,0.06,2.3,0.18,0.15,3.68,34.71,18.93,15.6,8.6,4.09,1.086,0.895,0.308,0.103,398,0.430266,-0.518778,1.17726,,,,
11CM070,CFM56-7B24E,CFM International,TF,5.3,25.6,107600,0.02,0.03,0.06,2.3,0.18,0.15,3.68,34.71,18.93,15.6,8.6,4.09,1.086,0.895,0.308,0.103,398,0.430266,-0.518778,1.17726,,,,
11CM071,CFM56-7B24E/B1,CFM International,TF,5.3,25.6,107600,0.02,0.03,0.06,2.3,0.18,0.15,3.68,34.71,18.93,15.6,8.6,4.09,1.086,0.895,0.308,0.103,398,0.430266,-0.518778,1.17726,,,,
8CM051,CFM56-7B26,CFM International,TF,5.1,27.61,116990,0.1,0.1,0.1,1.9,0.2,0.6,1.6,18.8,28.8,22.5,10.8,4.7,1.221,0.999,0.338,0.113,441,0.510959,-0.578083,1.29115,24376,,0.8,35000
4CM042,CFM56-7B26/2,CFM International,TF,5.1,27.8,116990,0.03,0.06,4.73,5.88,0.77,2.51,26.07,39.93,19.2,14.77,7.26,4.27,1.203,0.989,0.334,0.113,438,0.458825,-0.519702,1.26707,,,,
8CM065,CFM56-7B26/3,CFM International,TF,5.1,27.7,117000,0.02,0.02,0.05,1.75,0.25,0.16,3.07,30.94,21.79,17.08,8.93,4.27,1.213,0.986,0.331,0.108,429,0.53569,-0.582589,1.26256,,,,
11CM072,CFM56-7B26E,CFM International,TF,5.1,27.7,117000,0.02,0.02,0.05,1.75,0.2,0.16,3.07,30.94,21.79,17.08,8.93,4.27,1.213,0.986,0.331,0.108,429,0.53569,-0.582589,1.26256,,,,
11CM073,CFM56-7B26E/B1,CFM International,TF,5.1,27.7,117000,0.02,0.02,0.05,1.75,0.2,0.16,3.07,30.94,21.79,17.08,8.93,4.27,1.213,0.986,0.331,0.108,429,0.53569,-0.582589,1.26256,,,,
11CM074,CFM56-7B26E/B2,CFM International,TF,5.1,27.7,117000,0.02,0.02,0.05,1.75,0.2,0.16,3.07,30.94,21.79,17.08,8.93,4.27,1.213,0.986,0.331,0.108,429,0.53569,-0.582589,1.26256,,,,
11CM076,CFM56-7B26E/B2F,CFM International,TF,5.1,27.7,117000,0.02,0.02,0.05,1.75,0.2,0.16,3.07,30.94,21.79,17.08,8.93,4.27,1.213,0.986,0.331,0.108,429,0.53569,-0.582589,1.26256,,,,
11CM075,CFM56-7B26E/F,CFM International,TF,5.1,27.7,117000,0.02,0.02,0.05,1.75,0.2,0.16,3.07,30.94,21.79,17.08,8.93,4.27,1.213,0.986,0.331,0.108,429,0.53569,-0.582589,1.26256,,,,
3CM034,CFM56-7B27,CFM International,TF,5.0,28.63,121440,0.1,0.1,0.1,1.7,0.2,0.5,1.4,17.9,30.9,23.7,11,4.8,1.284,1.043,0.349,0.116,456,0.578899,-0.628824,1.33695,,,,
4CM043,CFM56-7B27/2,CFM International,TF,5.0,28.84,121440,0.05,0.06,4.21,5.56,0.54,1.97,24.28,38.73,20.81,15.59,7.53,4.36,1.265,1.033,0.351,0.115,453,0.546758,-0.621034,1.34214,,,,
8CM066,CFM56-7B27/3,CFM International,TF,5.1,29,121400,0.03,0.02,0.05,1.54,0.31,0.17,2.82,29.39,23.94,17.89,9.09,4.36,1.293,1.031,0.343,0.11,444,0.739151,-0.784982,1.34119,,,,
11CM080,CFM56-7B27AE,CFM International,TF,5.1,29,121400,0.03,0.02,0.05,1.54,0.31,0.17,2.82,29.39,23.94,17.89,9.09,4.36,1.293,1.031,0.343,0.11,444,0.739151,-0.784982,1.34119,,,,
