uid,name,manufacturer,type,bpr,pr,max_thrust,ei_hc_to,ei_hc_co,ei_hc_app,ei_hc_idl,ei_co_to,ei_co_co,ei_co_app,ei_co_idl,ei_nox_to,ei_nox_co,ei_nox_app,ei_nox_idl,ff_to,ff_co,ff_app,ff_idl,fuel_lto,fuel_c3,fuel_c2,fuel_c1,cruise_thrust,cruise_sfc,cruise_mach,cruise_alt
8GE111,CF34-8E2A1,GE Aircraft Engines,TF,5.13,23,59150,0.02,0.02,0.06,0.14,0.64,0.57,4.26,18.36,14.61,12.55,10.72,4.59,0.644,0.527,0.179,0.064,240,0.300631,-0.355124,0.700479,,,,
8GE108,CF34-8E5,GE Aircraft Engines,TF,5.13,23.18,59680,0.02,0.02,0.06,0.13,0.64,0.57,4.23,18.16,14.77,12.65,10.77,4.61,0.652,0.533,0.18,0.064,241,0.299183,-0.346398,0.70119,,,,
8GE105,CF34-8E5A1,GE Aircraft Engines,TF,5.13,24.12,62490,0.02,0.02,0.06,0.13,0.71,0.57,4.05,17.3,15.81,13.15,11.06,4.7,0.691,0.563,0.188,0.066,251,0.313497,-0.347731,0.72723,,,,
8GE102,CF34-8E5A2,GE Aircraft Engines,TF,5.13,24.82,64530,0.02,0.02,0.06,0.12,0.77,0.57,3.92,16.71,16.71,13.52,11.09,4.76,0.721,0.586,0.193,0.067,259,0.315311,-0.331233,0.73893,,,,
8GE109,CF34-8E6,GE Aircraft Engines,TF,5.13,23.18,59680,0.02,0.02,0.06,0.13,0.64,0.57,4.23,18.16,14.77,12.65,10.77,4.61,0.652,0.533,0.18,0.064,241,0.299183,-0.346398,0.70119,,,,
8GE106,CF34-8E6A1,GE Aircraft Engines,TF,5.13,24.12,62490,0.02,0.02,0.06,0.13,0.71,0.57,4.05,17.3,15.81,13.15,11.06,4.7,0.691,0.563,0.188,0.066,251,0.313497,-0.347731,0.72723,,,,
3GE067,CF6-45A,GE Aircraft Engines,TF,4.3,25.38,202800,0.09,0.14,0.35,2.72,0.43,0.54,5.01,24.04,25.45,21.61,9.36,3.4,2.027,1.663,0.592,0.163,701,0.81362,-1.00465,2.2195,50042,0.0178,0.8,35000
3GE068,CF6-45A2,GE Aircraft Engines,TF,4.3,25.38,202800,0.09,0.14,0.35,2.72,0.43,0.54,5.01,24.04,25.45,21.61,9.36,3.4,2.027,1.663,0.592,0.163,701,0.81362,-1.00465,2.2195,50042,0.0178,0.8,35000
3GE069,CF6-50A,GE Aircraft Engines,TF,4.3,26.88,215300,0.15,0.14,0.31,2.72,0.43,0.49,4.35,24.04,27.17,23.27,9.72,3.4,2.168,1.787,0.625,0.163,731,0.642708,-0.730666,2.25696,,,,
3GE070,CF6-50C,GE Aircraft Engines,TF,4.3,27.76,224200,0.14,0.14,0.29,2.72,0.44,0.46,3.99,24.04,28.03,24.3,10.09,3.4,2.281,1.875,0.641,0.163,751,0.591307,-0.575908,2.26643,49375,0.0186,0.8,35000
3GE073,CF6-50C1,GE Aircraft Engines,TF,4.3,28.44,230400,0.14,0.15,0.28,2.72,0.45,0.45,3.71,24.04,28.97,25.5,10.16,3.4,2.361,1.94,0.663,0.163,769,0.582589,-0.546824,2.32556,51399,0.0186,0.8,35000
1GE007,"CF6-50C1, -C2",GE Aircraft Engines,TF,4.3,29.8,230400,0.6,0.7,1,21.8,0.5,0.5,4.3,61.8,36.3,29.7,9.5,3.6,2.487,1.975,0.66,0.215,859,1.54903,-1.67906,2.62172,,,,
3GE074,CF6-50C2,GE Aircraft Engines,TF,4.3,28.44,230400,0.14,0.15,0.28,2.72,0.45,0.45,3.71,24.04,28.97,25.5,10.16,3.4,2.361,1.94,0.663,0.163,769,0.582589,-0.546824,2.32556,51399,0.0178,0.8,35000
3GE078,CF6-50C2B,GE Aircraft Engines,TF,4.3,29.06,236700,0.13,0.15,0.26,2.72,0.46,0.44,3.42,24.04,29.59,26.34,10.49,3.4,2.41,1.997,0.667,0.163,779,0.300074,-0.135586,2.24627,51399,0.0178,0.8,35000
3GE072,CF6-50C2R,GE Aircraft Engines,TF,4.3,27.76,224200,0.14,0.14,0.29,2.72,0.44,0.46,3.99,24.04,28.03,24.3,10.09,3.4,2.281,1.875,0.641,0.163,751,0.591307,-0.575908,2.26643,,,,
3GE071,CF6-50CA,GE Aircraft Engines,TF,4.3,27.76,224200,0.14,0.14,0.29,2.72,0.44,0.46,3.99,24.04,28.03,24.3,10.09,3.4,2.281,1.875,0.641,0.163,751,0.591307,-0.575908,2.26643,,,,
3GE075,CF6-50E,GE Aircraft Engines,TF,4.3,28.44,230400,0.14,0.15,0.28,2.72,0.45,0.45,3.71,24.04,28.97,25.5,10.16,3.4,2.361,1.94,0.663,0.163,769,0.582589,-0.546824,2.32556,51399,0.0186,0.8,35000
3GE076,CF6-50E1,GE Aircraft Engines,TF,4.3,28.44,230400,0.14,0.15,0.28,2.72,0.45,0.45,3.71,24.04,28.97,25.5,10.16,3.4,2.361,1.94,0.663,0.163,769,0.582589,-0.546824,2.32556,51399,0.0186,0.8,35000
3GE077,CF6-50E2,GE Aircraft Engines,TF,4.3,28.44,230400,0.14,0.15,0.28,2.72,0.45,0.45,3.71,24.04,28.97,25.5,10.16,3.4,2.361,1.94,0.663,0.163,769,0.582589,-0.546824,2.32556,51399,0.0178,0.8,35000
3GE079,CF6-50E2B,GE Aircraft Engines,TF,4.3,29.06,236700,0.13,0.15,0.26,2.72,0.46,0.44,3.42,24.04,29.59,26.34,10.49,3.4,2.41,1.997,0.667,0.163,779,0.300074,-0.135586,2.24627,52177,0.0178,0.8,35000
1GE001,CF6-6D,GE Aircraft Engines,TF,5.9,24.7,174800,0.3,0.3,0.7,21,0.5,0.5,6.5,54.2,40,32.6,11.4,4.5,1.736,1.431,0.4839,0.1728,648,0.686205,-0.805307,1.86063,40389,0.0183,0.8,35000
1GE002,CF6-6D1A,GE Aircraft Engines,TF,5.9,25.4,181900,0.3,0.3,0.6,19.9,0.5,0.5,5.5,52,41.6,33.9,11.8,4.6,1.812,1.502,0.494,0.176,667,0.515779,-0.530686,1.8329,41012,0.0183,0.8,35000
1GE003,CF6-6K,GE Aircraft Engines,TF,5.9,24.7,174800,0.3,0.3,0.7,21,0.5,0.5,6.5,54.2,40,32.6,11.4,4.5,1.736,1.431,0.4839,0.1728,648,0.686205,-0.805307,1.86063,,,,
1GE004,CF6-6K2,GE Aircraft Engines,TF,5.9,25.4,181900,0.3,0.3,0.6,19.9,0.5,0.5,5.5,52,41.6,33.9,11.8,4.6,1.812,1.502,0.494,0.176,667,0.515779,-0.530686,1.8329,,,,
1GE010,CF6-80A,GE Aircraft Engines,TF,5.0,29,208800,0.29,0.29,0.47,6.29,1,1.1,3.1,28.2,29.8,25.6,10.3,3.4,2.145,1.795,0.615,0.15,709,0.196572,-0.129568,2.0786,49130,0.0176,0.8,35000
1GE011,CF6-80A1,GE Aircraft Engines,TF,5.0,29,209000,0.29,0.29,0.47,6.29,1,1.1,3.1,28.2,29.8,25.6,10.3,3.4,2.145,1.795,0.615,0.15,709,0.196572,-0.129568,2.0786,49130,0.0176,0.8,35000
1GE012,CF6-80A2,GE Aircraft Engines,TF,5.0,30.1,216500,0.3,0.37,0.45,6.28,1,1.1,2.8,28.2,29.6,26.6,10.8,3.4,2.254,1.885,0.641,0.15,731,0.142877,-0.0198052,2.13103,49130,0.0176,0.8,35000
1GE013,CF6-80A3,GE Aircraft Engines,TF,5.0,30.1,217800,0.3,0.37,0.45,6.28,1,1.1,2.8,28.2,29.6,26.6,10.8,3.4,2.254,1.885,0.641,0.15,731,0.142877,-0.0198052,2.13103,49130,0.0176,0.8,35000
2GE036,CF6-80C2A1,GE Aircraft Engines,TF,5.1,30.53,257399,0.05,0.05,0.12,1.59,0.05,0.04,2.05,19.76,26.55,20.45,12.43,4.68,2.453,1.989,0.651,0.201,835,0.928609,-0.873643,2.40244,52533,0.0163,0.8,35000
2GE037,CF6-80C2A2,GE Aircraft Engines,TF,5.1,27.79,233350,0.05,0.05,0.12,1.9,0.04,0.05,2.56,21.97,22.35,18.37,11.86,4.49,2.152,1.771,0.59,0.192,765,0.688893,-0.712692,2.18089,50398,0.0164,0.8,35000
2GE038,CF6-80C2A3,GE Aircraft Engines,TF,5.1,31.09,262220,0.04,0.05,0.11,1.54,0.06,0.04,1.98,19.32,27.68,21.05,12.48,4.72,2.516,2.041,0.662,0.203,851,0.886982,-0.783033,2.41652,50442,0.0163,0.8,35000
2GE039,CF6-80C2A5,GE Aircraft Engines,TF,5.1,31.66,267340,0.04,0.05,0.11,1.48,0.06,0.04,1.91,18.89,28.57,21.69,12.53,4.76,2.58,2.096,0.672,0.205,866,0.809565,-0.641179,2.41625,,,,
3GE056,CF6-80C2A5F,GE Aircraft Engines,TF,5.1,32.88,271880,0.05,0.04,0.11,1.18,0.05,0.04,1.92,16.96,28.11,21.27,12.64,4.9,2.63,2.106,0.691,0.22,897,1.32552,-1.33527,2.64465,,,,
2GE040,CF6-80C2A8,GE Aircraft Engines,TF,5.1,30.45,257370,0.05,0.05,0.12,1.59,0.05,0.04,2.05,19.76,26.42,20.45,12.43,4.68,2.444,1.989,0.651,0.201,835,0.849757,-0.785645,2.38439,,,,
2GE041,CF6-80C2B1,GE Aircraft Engines,TF,5.1,29.53,249010,0.05,0.05,0.12,1.71,0.04,0.04,2.18,20.62,24.93,19.68,12.32,4.6,2.34,1.922,0.63,0.197,811,0.654355,-0.585356,2.27583,57026,0.0163,0.8,35000
2GE045,CF6-80C2B1F,GE Aircraft Engines,TF,5.1,30.13,254260,0.05,0.05,0.11,1.54,0.04,0.04,2.13,19.23,24.94,19.72,12.47,4.73,2.422,1.983,0.65,0.199,830,0.715796,-0.63784,2.34853,57026,0.016,0.8,35000
2GE042,CF6-80C2B2,GE Aircraft Engines,TF,5.1,27.53,231080,0.05,0.05,0.12,1.97,0.04,0.05,2.61,22.41,22.02,18.25,11.79,4.45,2.124,1.756,0.585,0.19,758,0.595035,-0.607395,2.14149,53378,0.0163,0.8,35000
2GE046,CF6-80C2B2F,GE Aircraft Engines,TF,5.1,27.6,231350,0.05,0.05,0.12,1.86,0.04,0.06,2.64,21.56,21.55,18.09,11.8,4.52,2.148,1.777,0.593,0.188,760,0.568516,-0.57074,2.15498,,,,
2GE043,CF6-80C2B4,GE Aircraft Engines,TF,5.1,30.14,254350,0.05,0.05,0.12,1.59,0.05,0.04,2.12,19.76,25.93,20.17,12.37,4.68,2.409,1.965,0.641,0.201,828,0.794138,-0.721026,2.34072,,,,
2GE047,CF6-80C2B4F,GE Aircraft Engines,TF,5.1,30.22,254790,0.05,0.05,0.11,1.54,0.04,0.04,2.13,19.23,25.08,19.72,12.47,4.73,2.432,1.983,0.65,0.199,830,0.803409,-0.735616,2.36858,,,,
3GE057,CF6-80C2B5F,GE Aircraft Engines,TF,5.1,32.82,272530,0.05,0.05,0.11,1.31,0.05,0.04,1.83,17.45,28.58,21.76,12.74,4.91,2.685,2.162,0.697,0.206,887,1.03092,-0.885012,2.54292,,,,
2GE044,CF6-80C2B6,GE Aircraft Engines,TF,5.1,31.66,267200,0.04,0.05,0.11,1.48,0.06,0.04,1.91,18.89,28.57,21.69,12.53,4.76,2.58,2.096,0.672,0.205,866,0.809565,-0.641179,2.41625,,,,
2GE048,CF6-80C2B6F,GE Aircraft Engines,TF,5.1,31.72,267030,0.05,0.05,0.11,1.43,0.05,0.04,1.93,18.42,27.38,21.05,12.63,4.81,2.594,2.104,0.682,0.203,867,0.874829,-0.743879,2.46707,,,,
2GE055,CF6-80C2B7F,GE Aircraft Engines,TF,5.1,31.72,267030,0.05,0.05,0.11,1.43,0.05,0.04,1.93,18.42,27.38,21.05,12.63,4.81,2.594,2.104,0.682,0.203,867,0.874829,-0.743879,2.46707,,,,
8GE101,CF6-80C2B8F,GE Aircraft Engines,TF,5.1,31.37,267000,0.04,0.04,0.09,1.14,0.03,0.02,1.69,16.69,26.85,20.84,12.42,4.59,2.583,2.106,0.685,0.205,870,0.782974,-0.658186,2.46247,,,,
3GE058,CF6-80C2B8FA,GE Aircraft Engines,TF,5.1,31.71,267020,0.05,0.05,0.11,1.41,0.05,0.04,1.97,18.27,26.9,20.85,12.63,4.83,2.605,2.117,0.688,0.205,874,0.851398,-0.727538,2.48524,,,,
2GE049,CF6-80C2D1F,GE Aircraft Engines,TF,5.1,32.05,269960,0.04,0.05,0.11,1.38,0.05,0.04,1.9,18.02,28.12,21.3,12.66,4.85,2.629,2.126,0.688,0.205,876,0.945579,-0.814231,2.50166,,,,
2GE050,CF6-80E1A1,GE Aircraft Engines,TF,5.1,32.46,281530,0.05,0.04,0.11,1.3,0.05,0.04,1.92,17.64,27.59,21.44,12.61,4.87,2.702,2.199,0.714,0.226,928,0.929656,-0.838256,2.61618,,,,
2GE051,CF6-80E1A2,GE Aircraft Engines,TF,5.1,33.1,287040,0.04,0.04,0.11,1.25,0.05,0.04,1.85,17.37,28.72,22.01,12.66,4.88,2.767,2.245,0.724,0.228,942,0.97709,-0.854147,2.6496,,,,
5GE085,CF6-80E1A3,GE Aircraft Engines,TF,5.1,35.7,304800,0.07,0.07,0.18,9.53,0.34,0.31,1.23,37.02,45.63,31.74,10.29,4.69,2.989,2.387,0.755,0.227,976,1.26557,-1.04299,2.77093,,,,
4GE081,CF6-80E1A4,GE Aircraft Engines,TF,5.1,34.5,297440,0.04,0.04,0.09,0.92,0.04,0.02,1.44,15.05,31.28,23.54,12.66,4.77,2.904,2.337,0.744,0.227,963,1.10141,-0.905258,2.71277,,,,
21GE182,GE90-110B1,GE Aircraft Engines,TF,7.3,40.36,492600,0.029,0.024,0.053,3.865,0.128,0.143,2.499,35.724,45.247,34.387,15.53,5.421,4.226,3.375,1.029,0.334,1390.992,1.64563,-1.15071,3.74031,,,,
21GE183,GE90-113B,GE Aircraft Engines,TF,7.2,41.81,504900,0.031,0.024,0.05,3.726,0.126,0.14,2.295,35.036,48.351,35.53,15.9,5.475,4.43,3.484,1.054,0.338,1426.188,2.19882,-1.68503,3.92467,,,,
21GE184,GE90-115B,GE Aircraft Engines,TF,7.1,42.94,513900,0.032,0.024,0.048,3.636,0.125,0.137,2.16,34.578,51.068,36.44,16.166,5.511,4.6,3.566,1.073,0.341,1453.392,2.7609,-2.2508,4.09758,,,,
9GE124,GE90-76B,GE Aircraft Engines,TF,8.53,35.5,363220,0.03,0.03,0.07,3.21,0.31,0.32,2.77,34.12,40.25,32.43,13.76,5.1,2.796,2.281,0.738,0.258,999,1.04006,-1.0043,2.76847,77843,0.0154,0.83,35000
9GE125,GE90-77B,GE Aircraft Engines,TF,8.52,35.8,366750,0.03,0.03,0.07,3.16,0.31,0.32,2.71,33.81,40.83,32.78,13.87,5.12,2.83,2.309,0.745,0.26,1007,1.03051,-0.977925,2.78572,,,,
9GE126,GE90-85B,GE Aircraft Engines,TF,8.41,38.16,397210,0.04,0.03,0.06,2.8,0.3,0.31,2.16,31.34,45.54,36.35,14.77,5.33,3.131,2.553,0.804,0.271,1085,0.935894,-0.707661,2.91118,77843,0.0147,0.83,35000
9GE127,GE90-90B,GE Aircraft Engines,TF,8.36,39.85,419250,0.04,0.03,0.06,2.59,0.3,0.31,1.88,29.89,49.21,39.07,15.44,5.48,3.38,2.735,0.852,0.28,1144,1.10827,-0.799969,3.07983,,,,
3GE066,GE90-92B,GE Aircraft Engines,TF,8.33,40.6,426720,0.04,0.04,0.07,0.37,0.15,0.15,0.94,12.35,55.9,40.51,17.74,5.92,3.515,2.844,0.917,0.304,1217,1.41865,-1.32405,3.42877,,,,
9GE128,GE90-94B,GE Aircraft Engines,TF,8.33,40.82,430920,0.04,0.03,0.06,2.49,0.3,0.31,1.74,29.23,51.33,40.63,15.81,5.55,3.513,2.831,0.876,0.284,1175,1.20125,-0.842116,3.16181,,,,
11GE134,GEnx-1B54,GE Aircraft Engines,TF,9.4,35.2,255300,0.02,0.02,0.08,1.34,0.36,1.55,4.18,26.1,14.96,9.18,8.07,3.98,1.878,1.553,0.523,0.184,696,0.656979,-0.755365,1.98221,,,,
11GE135,GEnx-1B58,GE Aircraft Engines,TF,9.2,37.2,271300,0.02,0.02,0.07,1.11,0.25,0.87,3.69,24.31,18.04,11.02,8.41,4.08,2.019,1.667,0.554,0.19,734,0.641601,-0.681333,2.06454,,,,
11GE136,GEnx-1B64,GE Aircraft Engines,TF,9.0,40.6,298000,0.02,0.02,0.06,0.81,0.18,0.38,2.99,21.62,24.82,14.61,9.03,4.24,2.265,1.861,0.604,0.199,796,0.644617,-0.570415,2.19652,,,,
11GE137,GEnx-1B67,GE Aircraft Engines,TF,8.9,41.9,308700,0.02,0.02,0.06,0.72,0.17,0.3,2.76,20.7,28.56,16.26,9.29,4.3,2.368,1.94,0.625,0.203,822,0.676472,-0.563636,2.26082,,,,
11GE138,GEnx-1B70,GE Aircraft Engines,TF,8.8,43.5,321600,0.02,0.02,0.06,0.63,0.17,0.24,2.49,19.68,34.06,18.48,9.63,4.37,2.494,2.037,0.65,0.208,854,0.707452,-0.542421,2.33459,,,,
11GE139,GEnx-2B67,GE Aircraft Engines,TF,8.0,42.4,299800,0.02,0.02,0.06,0.57,0.17,0.28,2.53,18.95,31.2,17.94,9.58,4.43,2.451,2.012,0.701,0.216,874,1.0028,-1.20823,2.66066,,,,
12GE148,GEnx-1B54/P1,GE Aircraft Engines,TF,9.4,35.1,255300,0.02,0.02,0.08,1.02,0.34,1.43,4.09,23.61,15.72,9.71,8.13,4.11,1.893,1.569,0.536,0.195,719,0.728265,-0.89911,2.07033,,,,
12GE149,GEnx-1B58/P1,GE Aircraft Engines,TF,9.2,37.1,271300,0.02,0.02,0.07,0.84,0.24,0.8,3.6,21.97,18.86,11.67,8.48,4.22,2.033,1.683,0.567,0.2,756,0.697751,-0.805478,2.14711,,,,
12GE150,GEnx-1B64/P1,GE Aircraft Engines,TF,9.0,40.5,298000,0.02,0.02,0.06,0.64,0.18,0.36,2.91,19.73,25.74,15.36,9.11,4.37,2.278,1.876,0.618,0.21,819,0.717135,-0.722745,2.28995,,,,
12GE151,GEnx-1B67/P1,GE Aircraft Engines,TF,8.9,41.9,308700,0.02,0.02,0.06,0.58,0.18,0.29,2.68,18.94,29.34,17.04,9.39,4.43,2.38,1.954,0.639,0.214,845,0.753127,-0.722629,2.35577,,,,
12GE152,GEnx-1B70/P1,GE Aircraft Engines,TF,8.8,43.5,321600,0.02,0.02,0.055,0.52,0.17,0.235,2.42,18.05,34.61,19.3,9.73,4.5,2.505,2.051,0.664,0.219,876,0.775346,-0.691637,2.42753,,,,
12GE153,GEnx-1B70/72/P1,GE Aircraft Engines,TF,8.8,43.5,321600,0.02,0.02,0.055,0.52,0.17,0.235,2.42,18.05,34.61,19.3,9.73,4.5,2.505,2.051,0.664,0.219,876,0.775346,-0.691637,2.42753,,,,
12GE154,GEnx-1B70/75/P1,GE Aircraft Engines,TF,8.8,43.5,321600,0.02,0.02,0.055,0.52,0.17,0.235,2.42,18.05,34.61,19.3,9.73,4.5,2.505,2.051,0.664,0.219,876,0.775346,-0.691637,2.42753,,,,
12GE155,GEnx-1B74/75/P1,GE Aircraft Engines,TF,8.8,46,341200,0.03,0.02,0.05,0.44,0.17,0.19,2.09,16.86,44.96,23.36,10.3,4.61,2.709,2.202,0.703,0.226,926,0.887884,-0.72869,2.55583,,,,
12GE156,GEnx-1B75/P1,GE Aircraft Engines,TF,8.8,46.5,345200,0.03,0.02,0.05,0.43,0.17,0.19,2.03,16.63,47.53,24.34,10.42,4.64,2.753,2.234,0.711,0.227,936,0.913831,-0.736205,2.58131,,,,
13GE157,GEnx-2B67B,GE Aircraft Engines,TF,8.0,42.4,299800,0.02,0.02,0.06,0.57,0.17,0.28,2.53,18.95,31.2,17.94,9.58,4.43,2.451,2.012,0.701,0.216,874,1.0028,-1.20823,2.66066,,,,
17GE170,GEnx-1B54/P2,GE Aircraft Engines,TF,9.39,35.5,255300,0.02,0.02,0.06,0.58,0.32,1.73,2.81,16.39,17.22,11.54,9.27,4.66,1.88,1.554,0.527,0.203,727,0.806166,-0.991912,2.07322,,,,
17GE171,GEnx-1B58/P2,GE Aircraft Engines,TF,9.24,37.5,271300,0.02,0.02,0.05,0.58,0.18,0.93,2.52,16.39,20.43,13.27,9.67,4.66,2.023,1.668,0.558,0.203,756,0.770055,-0.878497,2.1383,,,,
17GE172,GEnx-1B64/P2,GE Aircraft Engines,TF,9.01,40.9,298000,0.02,0.02,0.05,0.56,0.09,0.34,2.11,16.13,27.12,16.85,10.39,4.69,2.273,1.863,0.609,0.204,806,0.750064,-0.723363,2.25223,,,,
17GE173,GEnx-1B67/P2,GE Aircraft Engines,TF,8.92,42.2,308700,0.02,0.02,0.05,0.5,0.08,0.24,1.97,15.49,30.32,18.57,10.67,4.76,2.376,1.943,0.629,0.209,833,0.769541,-0.698266,2.31075,,,,
17GE174,GEnx-1B70/72/P2,GE Aircraft Engines,TF,8.81,43.9,321600,0.02,0.02,0.05,0.44,0.06,0.17,1.82,14.78,34.77,20.87,11.02,4.85,2.504,2.042,0.654,0.213,865,0.785869,-0.653902,2.37795,,,,
17GE175,GEnx-1B70/75/P2,GE Aircraft Engines,TF,8.81,43.9,321600,0.02,0.02,0.05,0.44,0.06,0.17,1.82,14.78,34.77,20.87,11.02,4.85,2.504,2.042,0.654,0.213,865,0.785869,-0.653902,2.37795,,,,
17GE176,GEnx-1B70/P2,GE Aircraft Engines,TF,8.81,43.9,321600,0.02,0.02,0.05,0.44,0.06,0.17,1.82,14.78,34.77,20.87,11.02,4.85,2.504,2.042,0.654,0.213,865,0.785869,-0.653902,2.37795,,,,
17GE177,GEnx-1B74/75/P2,GE Aircraft Engines,TF,8.65,46.4,341200,0.02,0.02,0.04,0.38,0.05,0.11,1.61,13.8,42.71,24.9,11.56,4.99,2.704,2.196,0.693,0.221,914,0.831042,-0.612345,2.4912,,,,
17GE178,GEnx-1B75/P2,GE Aircraft Engines,TF,8.62,47,345200,0.03,0.02,0.04,0.37,0.05,0.1,1.57,13.62,44.61,25.83,11.67,5.01,2.746,2.229,0.701,0.222,924,0.826567,-0.583864,2.50915,,,,
17GE179,GEnx-1B76/P2,GE Aircraft Engines,TF,8.59,47.5,349200,0.03,0.02,0.04,0.36,0.05,0.09,1.53,13.44,46.9,26.78,11.78,5.04,2.79,2.262,0.709,0.223,934,0.839615,-0.574939,2.53111,,,,
17GE180,GEnx-1B76A/P2,GE Aircraft Engines,TF,8.59,47.5,349200,0.03,0.02,0.04,0.36,0.05,0.09,1.53,13.44,46.9,26.78,11.78,5.04,2.79,2.262,0.709,0.223,934,0.839615,-0.574939,2.53111,,,,
17GE181,GEnx-2B67/P,GE Aircraft Engines,TF,8.03,43.55,299810,0.02,0.02,0.04,0.41,0.07,0.17,1.78,14.28,34.21,21.1,11.11,4.92,2.453,2.009,0.642,0.219,864,0.732706,-0.616351,2.34355,,,,
21GE185,Passport20-19BB1A,GE Aircraft Engines,MTF,5.89322,41.39806750136091,84159,0.013934595027034804,0.009878582231586962,0.0166878893031197,0.04022317032087048,0.290270759392491,0.299115735767782,1.2178408026797611,11.027536326711953,37.600464805233734,28.761532285142437,14.810748797410362,6.54923068585615,0.8011861958573865,0.6573682640192968,0.22794681673536082,0.07832894356195425,297.3228190496927,0.374116,-0.462016,0.891248,,,,
11HN003,HTF7000,Honeywell,MTF,4.2,21.95,30620,0.05,0.06,0.12,1.26,0.56,0.63,6.28,33.24,17.9,16.17,8.81,3.91,0.347,0.288,0.104,0.048,152,0.240237,-0.345999,0.454887,,,,
11HN005,HTF7250G,Honeywell,MTF,4.2,22.58,32860,0.05,0.06,0.12,0.99,0.57,0.6,6.07,30.48,18.43,16.44,8.96,3.965,0.372,0.308,0.107,0.049,158,0.225231,-0.306538,0.455524,,,,
14HN009,HTF7350,Honeywell,MTF,4.2,22.88,33000,0.05,0.06,0.12,1,0.58,0.59,5.98,30.9,18.79,16.64,9.03,3.98,0.373,0.309,0.107,0.048,157,0.214718,-0.290052,0.450465,,,,
14HN008,HTF7500E,Honeywell,MTF,4.2,23.57,33830,0.05,0.06,0.12,0.84,0.56,0.57,5.7,28.08,19.06,16.88,9.23,4.04,0.378,0.312,0.108,0.05,161,0.238434,-0.320962,0.462811,,,,
18HN010,HTF7700L,Honeywell,MTF,4.2,23.29,34030,0.05,0.06,0.11,0.95,0.6,0.58,5.72,29.62,19.4,16.96,9.21,4.01,0.386,0.319,0.109,0.048,159,0.211335,-0.276148,0.452915,,,,
1IA001,V2500-A1,International Aero Engines,MTF,5.3,29.8,111200,0.1,0.11,0.15,0.22,0.55,0.55,0.77,7.76,37.13,30.82,13.45,5.91,1.113,0.924,0.334,0.124,442,0.578875,-0.816436,1.35451,,,,
10IA011,V2522-A5,International Aero Engines,MTF,4.9,25.7,102500,0.03,0.04,0.07,0.14,0.43,0.44,2.55,12.49,21.34,18.33,9.32,5.09,0.971,0.815,0.31,0.13,425,0.638493,-0.998253,1.33568,,,,
10IA012,V2524-A5,International Aero Engines,MTF,4.8,27,108900,0.03,0.04,0.07,0.14,0.42,0.44,2.28,12.03,22.96,19.25,9.69,5.18,1.04,0.867,0.326,0.133,444,0.685085,-1.03462,1.39435,,,,
1IA002,V2525-D5,International Aero Engines,MTF,4.82,27.2,111200,0.041,0.041,0.061,0.105,0.53,0.62,2.44,12.43,26.5,22.3,8.9,4.7,1.053,0.88,0.319,0.128,437,0.558431,-0.816995,1.31631,,,,
10IA013,V2527-A5,International Aero Engines,MTF,4.8,27.1,110300,0.03,0.03,0.07,0.14,0.42,0.44,2.25,11.96,23.18,19.36,9.74,5.19,1.049,0.873,0.328,0.134,447,0.704628,-1.0572,1.40641,,,,
10IA014,V2527-A5E,International Aero Engines,MTF,4.8,27.1,110300,0.03,0.03,0.07,0.14,0.42,0.44,2.25,11.96,23.18,19.36,9.74,5.19,1.049,0.873,0.328,0.134,447,0.704628,-1.0572,1.40641,,,,
10IA015,V2527-A5M,International Aero Engines,MTF,4.8,27.1,110300,0.03,0.03,0.07,0.14,0.42,0.44,2.25,11.96,23.18,19.36,9.74,5.19,1.049,0.873,0.328,0.134,447,0.704628,-1.0572,1.40641,,,,
8IA010,V2527E-A5,International Aero Engines,MTF,4.82,27.2,111200,0.04,0.04,0.06,0.11,0.53,0.62,2.44,12.43,26.5,22.3,8.9,4.7,1.053,0.88,0.319,0.128,437,0.558431,-0.816995,1.31631,,,,
8IA009,V2527M-A5,International Aero Engines,MTF,4.82,27.2,111200,0.04,0.04,0.06,0.11,0.53,0.62,2.44,12.43,26.5,22.3,8.9,4.7,1.053,0.88,0.319,0.128,437,0.558431,-0.816995,1.31631,,,,
1IA004,V2528-D5,International Aero Engines,MTF,4.66,30,124500,0.043,0.041,0.058,0.102,0.47,0.56,2.03,11.53,30.5,25.1,9.6,4.9,1.209,0.996,0.353,0.134,476,0.66624,-0.891841,1.43907,,,,
10IA016,V2530-A5,International Aero Engines,MTF,4.6,32,133000,0.02,0.03,0.06,0.12,0.39,0.41,1.65,10.45,31.43,23.92,10.92,5.52,1.325,1.078,0.387,0.145,517,0.89404,-1.18369,1.6191,,,,
10IA017,V2533-A5,International Aero Engines,MTF,4.5,33.7,140600,0.01,0.02,0.06,0.12,0.38,0.41,1.54,10.12,35.43,25.65,11.24,5.6,1.433,1.142,0.405,0.147,537,1.13287,-1.41767,1.72175,,,,
14IA018,V2531-E5,International Aero Engines,MTF,4.52,32.3,134800,0.01,0.02,0.09,0.07,0.39,0.41,1.57,10.17,32.17,24.28,11.14,5.58,1.329,1.079,0.391,0.144,517,0.93323,-1.24333,1.64326,,,,
